energy_eV,sigma_m2
1.50000000e+01,0.00000000e+00
1.53199250e+01,2.53811500e-22
1.56466730e+01,4.88430800e-22
1.59803900e+01,7.05813200e-22
1.63212250e+01,9.07991000e-22
1.66693290e+01,1.09663400e-21
1.70248570e+01,1.27313300e-21
1.73879690e+01,1.43865500e-21
1.77588250e+01,1.59419400e-21
1.81375910e+01,1.74060100e-21
1.85244350e+01,1.87861000e-21
1.89195300e+01,2.00886200e-21
1.93230510e+01,2.13191600e-21
1.97351790e+01,2.24826500e-21
2.01560970e+01,2.35834800e-21
2.05859930e+01,2.46255400e-21
2.10250570e+01,2.56123200e-21
2.14734860e+01,2.65469600e-21
2.19314790e+01,2.74322900e-21
2.23992410e+01,2.82708800e-21
2.28769790e+01,2.90650800e-21
2.33649060e+01,2.98170300e-21
2.38632400e+01,3.05286800e-21
2.43722030e+01,3.12018500e-21
2.48920210e+01,3.18382000e-21
2.54229250e+01,3.24392700e-21
2.59651530e+01,3.30065100e-21
2.65189460e+01,3.35412500e-21
2.70845510e+01,3.40447300e-21
2.76622180e+01,3.45181400e-21
2.82522070e+01,3.49625700e-21
2.88547790e+01,3.53790400e-21
2.94702020e+01,3.57685500e-21
3.00987520e+01,3.61320200e-21
3.07407070e+01,3.64703200e-21
3.13963550e+01,3.67842900e-21
3.20659860e+01,3.70747100e-21
3.27498990e+01,3.73423600e-21
3.34483990e+01,3.75879400e-21
3.41617970e+01,3.78121700e-21
3.48904110e+01,3.80157000e-21
3.56345640e+01,3.81991700e-21
3.63945890e+01,3.83632000e-21
3.71708240e+01,3.85083900e-21
3.79636150e+01,3.86353100e-21
3.87733150e+01,3.87445200e-21
3.96002840e+01,3.88365500e-21
4.04448920e+01,3.89119200e-21
4.13075130e+01,3.89711600e-21
4.21885320e+01,3.90147300e-21
4.30883420e+01,3.90431400e-21
4.40073440e+01,3.90568300e-21
4.49459460e+01,3.90562700e-21
4.59045670e+01,3.90419100e-21
4.68836340e+01,3.90141600e-21
4.78835830e+01,3.89734600e-21
4.89048590e+01,3.89202300e-21
4.99479170e+01,3.88548500e-21
5.10132220e+01,3.87777400e-21
5.21012470e+01,3.86892700e-21
5.32124790e+01,3.85898300e-21
5.43474110e+01,3.84797800e-21
5.55065500e+01,3.83594900e-21
5.66904110e+01,3.82293300e-21
5.78995220e+01,3.80896200e-21
5.91344210e+01,3.79407300e-21
6.03956580e+01,3.77829800e-21
6.16837950e+01,3.76167000e-21
6.29994060e+01,3.74422200e-21
6.43430770e+01,3.72598600e-21
6.57154060e+01,3.70699200e-21
6.71170050e+01,3.68727000e-21
6.85484970e+01,3.66685200e-21
7.00105210e+01,3.64576500e-21
7.15037270e+01,3.62403900e-21
7.30287810e+01,3.60170200e-21
7.45863610e+01,3.57878100e-21
7.61771630e+01,3.55530300e-21
7.78018930e+01,3.53129500e-21
7.94612760e+01,3.50678200e-21
8.11560500e+01,3.48179100e-21
8.28869720e+01,3.45634500e-21
8.46548110e+01,3.43046900e-21
8.64603550e+01,3.40418700e-21
8.83044090e+01,3.37752200e-21
9.01877920e+01,3.35049700e-21
9.21113460e+01,3.32313300e-21
9.40759250e+01,3.29545300e-21
9.60824060e+01,3.26747800e-21
9.81316810e+01,3.23922800e-21
1.00224664e+02,3.21072400e-21
1.02362287e+02,3.18198400e-21
1.04545502e+02,3.15302900e-21
1.06775280e+02,3.12387700e-21
1.09052617e+02,3.09454600e-21
1.11378525e+02,3.06505300e-21
1.13754041e+02,3.03541700e-21
1.16180222e+02,3.00565400e-21
1.18658150e+02,2.97577900e-21
1.21188928e+02,2.94581000e-21
1.23773683e+02,2.91576000e-21
1.26413567e+02,2.88564600e-21
1.29109755e+02,2.85548200e-21
1.31863448e+02,2.82528100e-21
1.34675872e+02,2.79505800e-21
1.37548281e+02,2.76482500e-21
1.40481954e+02,2.73459500e-21
1.43478196e+02,2.70438100e-21
1.46538344e+02,2.67419400e-21
1.49663759e+02,2.64404600e-21
1.52855835e+02,2.61394900e-21
1.56115991e+02,2.58391200e-21
1.59445682e+02,2.55394600e-21
1.62846389e+02,2.52406100e-21
1.66319627e+02,2.49426800e-21
1.69866944e+02,2.46457400e-21
1.73489919e+02,2.43498800e-21
1.77190166e+02,2.40552000e-21
1.80969333e+02,2.37617800e-21
1.84829103e+02,2.34696900e-21
1.88771195e+02,2.31790000e-21
1.92797366e+02,2.28898000e-21
1.96909408e+02,2.26021400e-21
2.01109153e+02,2.23161000e-21
2.05398472e+02,2.20317300e-21
2.09779274e+02,2.17490900e-21
2.14253512e+02,2.14682500e-21
2.18823177e+02,2.11892500e-21
2.23490306e+02,2.09121500e-21
2.28256977e+02,2.06369900e-21
2.33125313e+02,2.03638200e-21
2.38097482e+02,2.00926900e-21
2.43175699e+02,1.98236200e-21
2.48362226e+02,1.95566700e-21
2.53659372e+02,1.92918600e-21
2.59069498e+02,1.90292300e-21
2.64595013e+02,1.87688100e-21
2.70238378e+02,1.85106300e-21
2.76002106e+02,1.82547200e-21
