energy_eV,sigma_m2
1.57600000e+01,0.00000000e+00
1.60921370e+01,6.03971000e-22
1.64312740e+01,1.21524800e-21
1.67775570e+01,1.83235100e-21
1.71311390e+01,2.45389600e-21
1.74921720e+01,3.07859100e-21
1.78608140e+01,3.70522900e-21
1.82372250e+01,4.33268200e-21
1.86215690e+01,4.95989700e-21
1.90140120e+01,5.58589500e-21
1.94147270e+01,6.20976000e-21
1.98238860e+01,6.83064200e-21
2.02416680e+01,7.44774800e-21
2.06682540e+01,8.06034100e-21
2.11038310e+01,8.66773700e-21
2.15485880e+01,9.26929900e-21
2.20027170e+01,9.86444000e-21
2.24664170e+01,1.04526100e-20
2.29398900e+01,1.10333100e-20
2.34233410e+01,1.16060700e-20
2.39169800e+01,1.21704500e-20
2.44210230e+01,1.27260700e-20
2.49356880e+01,1.32725500e-20
2.54612000e+01,1.38095600e-20
2.59977860e+01,1.43368000e-20
2.65456810e+01,1.48539800e-20
2.71051230e+01,1.53608600e-20
2.76763550e+01,1.58571900e-20
2.82596250e+01,1.63427600e-20
2.88551870e+01,1.68174000e-20
2.94633010e+01,1.72856800e-20
3.00842310e+01,1.77582000e-20
3.07182460e+01,1.82229100e-20
3.13656240e+01,1.86793900e-20
3.20266440e+01,1.91272500e-20
3.27015950e+01,1.95661400e-20
3.33907710e+01,1.99957200e-20
3.40944710e+01,2.04157000e-20
3.48130010e+01,2.08258000e-20
3.55466740e+01,2.12257900e-20
3.62958080e+01,2.16154300e-20
3.70607310e+01,2.19945300e-20
3.78417740e+01,2.23629200e-20
3.86392770e+01,2.27204300e-20
3.94535870e+01,2.30669300e-20
4.02850590e+01,2.34023100e-20
4.11340540e+01,2.37264600e-20
4.20009410e+01,2.40393100e-20
4.28860970e+01,2.43407900e-20
4.37899080e+01,2.46308400e-20
4.47127660e+01,2.49094400e-20
4.56550730e+01,2.51765500e-20
4.66172390e+01,2.54321800e-20
4.75996820e+01,2.56763200e-20
4.86028310e+01,2.59090000e-20
4.96271200e+01,2.61302400e-20
5.06729950e+01,2.63400800e-20
5.17409120e+01,2.65385700e-20
5.28313350e+01,2.67257700e-20
5.39447390e+01,2.69017500e-20
5.50816070e+01,2.70665800e-20
5.62424340e+01,2.72203600e-20
5.74277250e+01,2.73631700e-20
5.86379960e+01,2.74951300e-20
5.98737730e+01,2.76163300e-20
6.11355940e+01,2.77269000e-20
6.24240070e+01,2.78269500e-20
6.37395730e+01,2.79166300e-20
6.50828640e+01,2.79960500e-20
6.64544640e+01,2.80653700e-20
6.78549700e+01,2.81247200e-20
