energy_eV,sigma_m2
0.0,7.5e-20
0.001,7.5e-20
0.002,7.1e-20
0.003,6.7e-20
0.005,6.1e-20
0.007,5.4e-20
0.0085,5.05e-20
0.01,4.6e-20
0.015,3.75e-20
0.02,3.25e-20
0.03,2.5e-20
0.04,2.05e-20
0.05,1.73e-20
0.07,1.13e-20
0.1,5.9e-21
0.12,4e-21
0.15,2.3e-21
0.17,1.6e-21
0.2,1.03e-21
0.25,9.1e-22
0.3,1.53e-21
0.35,2.35e-21
0.4,3.3e-21
0.5,5.1e-21
0.7,8.6e-21
1.0,1.38e-20
1.2,1.66e-20
1.3,1.82e-20
1.5,2.1e-20
1.7,2.3e-20
1.9,2.5e-20
2.1,2.8e-20
2.2,2.9e-20
2.5,3.3e-20
2.8,3.8e-20
3.0,4.1e-20
3.3,4.5e-20
3.6,4.9e-20
4.0,5.4e-20
4.5,6.1e-20
5.0,6.7e-20
6.0,8.1e-20
7.0,9.6e-20
8.0,1.17e-19
10.0,1.5e-19
12.0,1.52e-19
15.0,1.41e-19
17.0,1.31e-19
20.0,1.1e-19
25.0,9.45e-20
30.0,8.74e-20
50.0,6.9e-20
75.0,5.85e-20
100.0,5.25e-20
150.0,4.24e-20
200.0,3.76e-20
300.0,3.02e-20
500.0,2.1e-20
700.0,1.64e-20
1000.0,1.21e-20
1500.0,8.8e-21
2000.0,6.6e-21
3000.0,4.5e-21
5000.0,3.1e-21
7000.0,2.3e-21
10000.0,1.75e-21
