pressure_Torr,metric_id,value_percent,source_figure,source_panel,digitization_method,note
0.50,avg_gas_temperature_relative_difference,3.500000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
0.50,near_wall_temperature_relative_difference,1.500000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
0.50,electron_temperature_relative_difference,1.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
0.50,avg_reduced_electric_field_relative_difference,4.100000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
0.50,avg_charged_species_relative_difference,11.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
0.50,avg_neutral_species_relative_difference,11.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
1.00,avg_gas_temperature_relative_difference,3.200000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
1.00,near_wall_temperature_relative_difference,1.200000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
1.00,electron_temperature_relative_difference,0.800000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
1.00,avg_reduced_electric_field_relative_difference,3.600000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
1.00,avg_charged_species_relative_difference,18.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
1.00,avg_neutral_species_relative_difference,17.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
2.00,avg_gas_temperature_relative_difference,3.800000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
2.00,near_wall_temperature_relative_difference,1.100000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
2.00,electron_temperature_relative_difference,0.400000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
2.00,avg_reduced_electric_field_relative_difference,2.500000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
2.00,avg_charged_species_relative_difference,24.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
2.00,avg_neutral_species_relative_difference,24.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
4.00,avg_gas_temperature_relative_difference,2.800000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
4.00,near_wall_temperature_relative_difference,1.300000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
4.00,electron_temperature_relative_difference,0.400000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
4.00,avg_reduced_electric_field_relative_difference,4.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
4.00,avg_charged_species_relative_difference,36.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
4.00,avg_neutral_species_relative_difference,35.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
7.50,avg_gas_temperature_relative_difference,0.900000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
7.50,near_wall_temperature_relative_difference,2.500000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
7.50,electron_temperature_relative_difference,2.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
7.50,avg_reduced_electric_field_relative_difference,1.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
7.50,avg_charged_species_relative_difference,46.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
7.50,avg_neutral_species_relative_difference,50.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
10.00,avg_gas_temperature_relative_difference,0.800000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
10.00,near_wall_temperature_relative_difference,2.800000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
10.00,electron_temperature_relative_difference,2.100000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
10.00,avg_reduced_electric_field_relative_difference,1.200000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
10.00,avg_charged_species_relative_difference,53.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
10.00,avg_neutral_species_relative_difference,56.000000,11,11,manual_visual_estimate_acceptance_envelope,Approximate digitization from figure 11 acceptance envelope.
