pressure_Torr,series_id,quantity_id,symbol,value,unit,source_figure,source_panel,digitization_method,note
0.50,0D_LoKI,average_electron_density,ne,4.100000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,average_electron_density,ne,4.000000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,0D_LoKI,average_negative_ion_density,O_minus,1.700000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,average_negative_ion_density,O_minus,1.500000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,0D_LoKI,average_positive_ion_density,O2_plus,5.500000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,average_positive_ion_density,O2_plus,5.400000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,average_electron_density,ne,4.400000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,average_electron_density,ne,4.300000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,average_negative_ion_density,O_minus,1.800000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,average_negative_ion_density,O_minus,1.750000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,average_positive_ion_density,O2_plus,6.200000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,average_positive_ion_density,O2_plus,6.100000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,average_electron_density,ne,4.600000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,average_electron_density,ne,4.600000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,average_negative_ion_density,O_minus,2.000000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,average_negative_ion_density,O_minus,2.000000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,average_positive_ion_density,O2_plus,6.800000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,average_positive_ion_density,O2_plus,6.800000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,average_electron_density,ne,5.000000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,average_electron_density,ne,5.100000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,average_negative_ion_density,O_minus,2.500000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,average_negative_ion_density,O_minus,2.700000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,average_positive_ion_density,O2_plus,7.500000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,average_positive_ion_density,O2_plus,7.950000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,average_electron_density,ne,5.200000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,average_electron_density,ne,5.600000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,average_negative_ion_density,O_minus,3.000000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,average_negative_ion_density,O_minus,3.400000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,average_positive_ion_density,O2_plus,8.200000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,average_positive_ion_density,O2_plus,9.100000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,average_electron_density,ne,5.700000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,average_electron_density,ne,5.750000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,average_negative_ion_density,O_minus,3.700000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,average_negative_ion_density,O_minus,4.200000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,average_positive_ion_density,O2_plus,9.400000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,average_positive_ion_density,O2_plus,1.005000e+16,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,0D_LoKI,average_electron_density,ne,5.800000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,1D_fluid,average_electron_density,ne,5.900000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,0D_LoKI,average_negative_ion_density,O_minus,4.300000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,1D_fluid,average_negative_ion_density,O_minus,5.000000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,0D_LoKI,average_positive_ion_density,O2_plus,1.030000e+16,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,1D_fluid,average_positive_ion_density,O2_plus,1.100000e+16,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,0D_LoKI,average_electron_density,ne,6.200000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,1D_fluid,average_electron_density,ne,6.071429e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,0D_LoKI,average_negative_ion_density,O_minus,5.200000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,1D_fluid,average_negative_ion_density,O_minus,6.142857e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,0D_LoKI,average_positive_ion_density,O2_plus,1.160000e+16,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
6.00,1D_fluid,average_positive_ion_density,O2_plus,1.242857e+16,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
7.50,0D_LoKI,average_electron_density,ne,6.400000e+15,m^-3,7a,7a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
