pressure_Torr,series_id,quantity_id,symbol,value,unit,source_figure,source_panel,digitization_method,note
0.50,0D_LoKI,average_molecular_state_density,O2(X),8.000000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,average_molecular_state_density,O2(X),7.500000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,0D_LoKI,average_molecular_state_density,O2(a),1.000000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,average_molecular_state_density,O2(a),9.000000e+20,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,0D_LoKI,average_molecular_state_density,O2(b),4.000000e+19,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.50,1D_fluid,average_molecular_state_density,O2(b),4.000000e+19,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,average_molecular_state_density,O2(X),1.100000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,average_molecular_state_density,O2(X),1.000000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,average_molecular_state_density,O2(a),1.500000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,average_molecular_state_density,O2(a),1.400000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,0D_LoKI,average_molecular_state_density,O2(b),5.500000e+19,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
0.75,1D_fluid,average_molecular_state_density,O2(b),5.000000e+19,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,average_molecular_state_density,O2(X),1.600000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,average_molecular_state_density,O2(X),1.450000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,average_molecular_state_density,O2(a),2.200000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,average_molecular_state_density,O2(a),2.000000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,0D_LoKI,average_molecular_state_density,O2(b),8.000000e+19,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.00,1D_fluid,average_molecular_state_density,O2(b),7.000000e+19,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,average_molecular_state_density,O2(X),2.400000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,average_molecular_state_density,O2(X),2.250000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,average_molecular_state_density,O2(a),3.300000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,average_molecular_state_density,O2(a),3.000000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,0D_LoKI,average_molecular_state_density,O2(b),1.200000e+20,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.50,1D_fluid,average_molecular_state_density,O2(b),1.000000e+20,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,average_molecular_state_density,O2(X),3.400000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,average_molecular_state_density,O2(X),3.200000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,average_molecular_state_density,O2(a),4.800000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,average_molecular_state_density,O2(a),4.000000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,0D_LoKI,average_molecular_state_density,O2(b),1.600000e+20,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
2.00,1D_fluid,average_molecular_state_density,O2(b),1.300000e+20,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,average_molecular_state_density,O2(X),5.000000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,average_molecular_state_density,O2(X),4.800000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,average_molecular_state_density,O2(a),6.900000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,average_molecular_state_density,O2(a),5.000000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,0D_LoKI,average_molecular_state_density,O2(b),2.000000e+20,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
3.00,1D_fluid,average_molecular_state_density,O2(b),1.500000e+20,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,0D_LoKI,average_molecular_state_density,O2(X),6.800000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,1D_fluid,average_molecular_state_density,O2(X),6.600000e+22,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
4.00,0D_LoKI,average_molecular_state_density,O2(a),8.300000e+21,m^-3,9a,9a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
