pressure_Torr,radius_mm,series_id,quantity_id,symbol,value,unit,source_figure,source_panel,digitization_method,note
1.0,0.0,0D_LoKI,gas_temperature_profile,Tg(r),430.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,1.0,0D_LoKI,gas_temperature_profile,Tg(r),429.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,2.0,0D_LoKI,gas_temperature_profile,Tg(r),427.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,3.0,0D_LoKI,gas_temperature_profile,Tg(r),423.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,4.0,0D_LoKI,gas_temperature_profile,Tg(r),417.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,5.0,0D_LoKI,gas_temperature_profile,Tg(r),408.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,6.0,0D_LoKI,gas_temperature_profile,Tg(r),398.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,7.0,0D_LoKI,gas_temperature_profile,Tg(r),384.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,8.0,0D_LoKI,gas_temperature_profile,Tg(r),370.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,9.0,0D_LoKI,gas_temperature_profile,Tg(r),350.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,10.0,0D_LoKI,gas_temperature_profile,Tg(r),330.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,0.0,1D_fluid,gas_temperature_profile,Tg(r),405.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,1.0,1D_fluid,gas_temperature_profile,Tg(r),404.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,2.0,1D_fluid,gas_temperature_profile,Tg(r),402.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,3.0,1D_fluid,gas_temperature_profile,Tg(r),397.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,4.0,1D_fluid,gas_temperature_profile,Tg(r),390.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,5.0,1D_fluid,gas_temperature_profile,Tg(r),382.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,6.0,1D_fluid,gas_temperature_profile,Tg(r),374.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,7.0,1D_fluid,gas_temperature_profile,Tg(r),365.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,8.0,1D_fluid,gas_temperature_profile,Tg(r),355.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,9.0,1D_fluid,gas_temperature_profile,Tg(r),345.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,10.0,1D_fluid,gas_temperature_profile,Tg(r),332.0,K,1,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,0D_LoKI,gas_temperature_profile,Tg(r),725.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,0D_LoKI,gas_temperature_profile,Tg(r),723.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,0D_LoKI,gas_temperature_profile,Tg(r),718.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,0D_LoKI,gas_temperature_profile,Tg(r),705.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,0D_LoKI,gas_temperature_profile,Tg(r),682.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,0D_LoKI,gas_temperature_profile,Tg(r),652.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,0D_LoKI,gas_temperature_profile,Tg(r),610.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,0D_LoKI,gas_temperature_profile,Tg(r),560.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,0D_LoKI,gas_temperature_profile,Tg(r),500.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,0D_LoKI,gas_temperature_profile,Tg(r),440.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,0D_LoKI,gas_temperature_profile,Tg(r),355.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,1D_fluid,gas_temperature_profile,Tg(r),712.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,1D_fluid,gas_temperature_profile,Tg(r),709.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,1D_fluid,gas_temperature_profile,Tg(r),702.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,1D_fluid,gas_temperature_profile,Tg(r),680.0,K,1,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
