pressure_Torr,radius_mm,series_id,quantity_id,symbol,value,unit,source_figure,source_panel,digitization_method,note
1.0,0.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),65.0,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,1.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),64.8,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,2.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),64.5,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,3.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),63.8,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,4.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),62.8,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,5.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),61.5,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,6.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),60.0,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,7.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),58.0,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,8.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),55.8,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,9.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),53.0,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,10.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),49.5,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,0.0,1D_fluid,reduced_electric_field_profile,E_over_N(r),65.0,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,1.0,1D_fluid,reduced_electric_field_profile,E_over_N(r),64.8,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,2.0,1D_fluid,reduced_electric_field_profile,E_over_N(r),64.6,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,3.0,1D_fluid,reduced_electric_field_profile,E_over_N(r),63.9,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,4.0,1D_fluid,reduced_electric_field_profile,E_over_N(r),62.5,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,5.0,1D_fluid,reduced_electric_field_profile,E_over_N(r),61.0,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,6.0,1D_fluid,reduced_electric_field_profile,E_over_N(r),60.0,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,7.0,1D_fluid,reduced_electric_field_profile,E_over_N(r),58.7,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,8.0,1D_fluid,reduced_electric_field_profile,E_over_N(r),57.0,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,9.0,1D_fluid,reduced_electric_field_profile,E_over_N(r),55.0,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,10.0,1D_fluid,reduced_electric_field_profile,E_over_N(r),53.5,Td,2,1Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),53.5,Td,2,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),53.4,Td,2,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),53.0,Td,2,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),52.0,Td,2,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,0D_LoKI,reduced_electric_field_profile,E_over_N(r),50.0,Td,2,10Torr,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
