pressure_Torr,radius_mm,series_id,quantity_id,symbol,value,unit,source_figure,source_panel,digitization_method,note
1.0,0.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),6.50e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,1.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),6.51e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,2.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),6.55e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,3.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),6.64e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,4.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),6.78e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,5.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),6.98e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,6.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),7.22e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,7.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),7.55e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,8.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),7.95e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,9.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),8.40e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,10.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),8.52e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,0.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),7.08e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,1.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),7.09e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,2.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),7.15e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,3.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),7.24e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,4.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),7.38e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,5.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),7.52e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,6.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),7.68e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,7.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),7.85e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,8.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),8.03e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,9.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),8.22e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
1.0,10.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),8.43e21,m^-3,4,left,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),9.5e21,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),9.6e21,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),9.8e21,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),1.01e22,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),1.05e22,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),1.11e22,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),1.20e22,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),1.33e22,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),1.48e22,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),1.68e22,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,0D_LoKI,atomic_oxygen_density_profile,O(3P)(r),1.94e22,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),9.3e21,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),9.3e21,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,1D_fluid,atomic_oxygen_density_profile,O(3P)(r),9.25e21,m^-3,4,right,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
