pressure_Torr,radius_mm,series_id,quantity_id,symbol,value,unit,source_figure,source_panel,digitization_method,note
10.0,0.0,0D_LoKI,electron_density_profile,e(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,0D_LoKI,electron_density_profile,e(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,0D_LoKI,electron_density_profile,e(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,0D_LoKI,electron_density_profile,e(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,0D_LoKI,electron_density_profile,e(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,0D_LoKI,electron_density_profile,e(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,0D_LoKI,electron_density_profile,e(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,0D_LoKI,electron_density_profile,e(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,0D_LoKI,electron_density_profile,e(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,0D_LoKI,electron_density_profile,e(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,0D_LoKI,electron_density_profile,e(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,1D_fluid,electron_density_profile,e(r),1.76e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,1D_fluid,electron_density_profile,e(r),1.74e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,1D_fluid,electron_density_profile,e(r),1.62e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,1D_fluid,electron_density_profile,e(r),1.42e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,1D_fluid,electron_density_profile,e(r),1.22e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,1D_fluid,electron_density_profile,e(r),1.00e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,1D_fluid,electron_density_profile,e(r),7.8e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,1D_fluid,electron_density_profile,e(r),5.5e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,1D_fluid,electron_density_profile,e(r),3.0e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,1D_fluid,electron_density_profile,e(r),1.0e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,1D_fluid,electron_density_profile,e(r),2.0e14,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,0D_LoKI,negative_ion_density_profile,O_minus(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,0D_LoKI,negative_ion_density_profile,O_minus(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,0D_LoKI,negative_ion_density_profile,O_minus(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,0D_LoKI,negative_ion_density_profile,O_minus(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,0D_LoKI,negative_ion_density_profile,O_minus(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,0D_LoKI,negative_ion_density_profile,O_minus(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,0D_LoKI,negative_ion_density_profile,O_minus(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,0D_LoKI,negative_ion_density_profile,O_minus(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,0D_LoKI,negative_ion_density_profile,O_minus(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,0D_LoKI,negative_ion_density_profile,O_minus(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,0D_LoKI,negative_ion_density_profile,O_minus(r),6.6e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,1D_fluid,negative_ion_density_profile,O_minus(r),2.20e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,1D_fluid,negative_ion_density_profile,O_minus(r),2.18e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,1D_fluid,negative_ion_density_profile,O_minus(r),2.05e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,1D_fluid,negative_ion_density_profile,O_minus(r),1.82e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,1D_fluid,negative_ion_density_profile,O_minus(r),1.52e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,1D_fluid,negative_ion_density_profile,O_minus(r),1.20e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,1D_fluid,negative_ion_density_profile,O_minus(r),9.2e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,1D_fluid,negative_ion_density_profile,O_minus(r),6.3e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,1D_fluid,negative_ion_density_profile,O_minus(r),3.5e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,1D_fluid,negative_ion_density_profile,O_minus(r),1.2e15,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,1D_fluid,negative_ion_density_profile,O_minus(r),1.0e14,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,0D_LoKI,positive_ion_density_profile,O2_plus(r),1.34e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,0D_LoKI,positive_ion_density_profile,O2_plus(r),1.34e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,0D_LoKI,positive_ion_density_profile,O2_plus(r),1.34e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,0D_LoKI,positive_ion_density_profile,O2_plus(r),1.34e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,0D_LoKI,positive_ion_density_profile,O2_plus(r),1.34e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,0D_LoKI,positive_ion_density_profile,O2_plus(r),1.34e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,0D_LoKI,positive_ion_density_profile,O2_plus(r),1.34e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,0D_LoKI,positive_ion_density_profile,O2_plus(r),1.34e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,0D_LoKI,positive_ion_density_profile,O2_plus(r),1.34e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,0D_LoKI,positive_ion_density_profile,O2_plus(r),1.34e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,0D_LoKI,positive_ion_density_profile,O2_plus(r),1.34e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,1D_fluid,positive_ion_density_profile,O2_plus(r),4.10e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,1D_fluid,positive_ion_density_profile,O2_plus(r),4.00e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,1D_fluid,positive_ion_density_profile,O2_plus(r),3.70e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,1D_fluid,positive_ion_density_profile,O2_plus(r),3.30e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,1D_fluid,positive_ion_density_profile,O2_plus(r),2.80e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,1D_fluid,positive_ion_density_profile,O2_plus(r),2.25e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,1D_fluid,positive_ion_density_profile,O2_plus(r),1.70e16,m^-3,7,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
