pressure_Torr,radius_mm,series_id,quantity_id,symbol,value,unit,source_figure,source_panel,digitization_method,note
10.0,0.0,0D_LoKI,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,0D_LoKI,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,0D_LoKI,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,0D_LoKI,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,0D_LoKI,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,0D_LoKI,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,0D_LoKI,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,0D_LoKI,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,0D_LoKI,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,0D_LoKI,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,0D_LoKI,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,1D_fluid,ozone_reactant_profile,O2(X)(r),1.15e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,1D_fluid,ozone_reactant_profile,O2(X)(r),1.15e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,1D_fluid,ozone_reactant_profile,O2(X)(r),1.16e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,1D_fluid,ozone_reactant_profile,O2(X)(r),1.18e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,1D_fluid,ozone_reactant_profile,O2(X)(r),1.22e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,1D_fluid,ozone_reactant_profile,O2(X)(r),1.25e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,1D_fluid,ozone_reactant_profile,O2(X)(r),1.30e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,1D_fluid,ozone_reactant_profile,O2(X)(r),1.35e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,1D_fluid,ozone_reactant_profile,O2(X)(r),1.50e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,1D_fluid,ozone_reactant_profile,O2(X)(r),1.75e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,1D_fluid,ozone_reactant_profile,O2(X)(r),2.15e23,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,0D_LoKI,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,0D_LoKI,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,0D_LoKI,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,0D_LoKI,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,0D_LoKI,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,0D_LoKI,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,0D_LoKI,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,0D_LoKI,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,0D_LoKI,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,0D_LoKI,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,0D_LoKI,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,1D_fluid,ozone_reactant_profile,O(3P)(r),8.6e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,1D_fluid,ozone_reactant_profile,O(3P)(r),8.6e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,1D_fluid,ozone_reactant_profile,O(3P)(r),8.7e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,1D_fluid,ozone_reactant_profile,O(3P)(r),8.8e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,1D_fluid,ozone_reactant_profile,O(3P)(r),8.9e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,1D_fluid,ozone_reactant_profile,O(3P)(r),9.0e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,1D_fluid,ozone_reactant_profile,O(3P)(r),9.0e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,1D_fluid,ozone_reactant_profile,O(3P)(r),9.1e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,1D_fluid,ozone_reactant_profile,O(3P)(r),9.2e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,1D_fluid,ozone_reactant_profile,O(3P)(r),9.4e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,1D_fluid,ozone_reactant_profile,O(3P)(r),1.02e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,0D_LoKI,ozone_reactant_profile,O2(a)(r),1.50e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,0D_LoKI,ozone_reactant_profile,O2(a)(r),1.50e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,0D_LoKI,ozone_reactant_profile,O2(a)(r),1.50e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,0D_LoKI,ozone_reactant_profile,O2(a)(r),1.50e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,0D_LoKI,ozone_reactant_profile,O2(a)(r),1.50e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,0D_LoKI,ozone_reactant_profile,O2(a)(r),1.50e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,0D_LoKI,ozone_reactant_profile,O2(a)(r),1.50e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,0D_LoKI,ozone_reactant_profile,O2(a)(r),1.50e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,0D_LoKI,ozone_reactant_profile,O2(a)(r),1.50e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,0D_LoKI,ozone_reactant_profile,O2(a)(r),1.50e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,0D_LoKI,ozone_reactant_profile,O2(a)(r),1.50e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,1D_fluid,ozone_reactant_profile,O2(a)(r),8.8e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,1D_fluid,ozone_reactant_profile,O2(a)(r),8.8e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,1D_fluid,ozone_reactant_profile,O2(a)(r),8.9e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,1D_fluid,ozone_reactant_profile,O2(a)(r),9.0e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,1D_fluid,ozone_reactant_profile,O2(a)(r),9.1e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,1D_fluid,ozone_reactant_profile,O2(a)(r),9.3e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,1D_fluid,ozone_reactant_profile,O2(a)(r),9.8e21,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,1D_fluid,ozone_reactant_profile,O2(a)(r),1.02e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,8.0,1D_fluid,ozone_reactant_profile,O2(a)(r),1.10e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,9.0,1D_fluid,ozone_reactant_profile,O2(a)(r),1.20e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,10.0,1D_fluid,ozone_reactant_profile,O2(a)(r),1.38e22,m^-3,10,a,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,0.0,0D_LoKI,ozone_reactant_profile,O3(r),8.2e18,m^-3,10,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,1.0,0D_LoKI,ozone_reactant_profile,O3(r),8.2e18,m^-3,10,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,2.0,0D_LoKI,ozone_reactant_profile,O3(r),8.2e18,m^-3,10,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,3.0,0D_LoKI,ozone_reactant_profile,O3(r),8.2e18,m^-3,10,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,4.0,0D_LoKI,ozone_reactant_profile,O3(r),8.2e18,m^-3,10,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,5.0,0D_LoKI,ozone_reactant_profile,O3(r),8.2e18,m^-3,10,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,6.0,0D_LoKI,ozone_reactant_profile,O3(r),8.2e18,m^-3,10,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
10.0,7.0,0D_LoKI,ozone_reactant_profile,O3(r),8.2e18,m^-3,10,b,manual_visual_estimate_curve_sample,Approximate digitization from extracted PDF figure image.
