t,Ar,Ar+,e,T_e,T_n,p,P
0.0,1.6917887319817692e+21,1691788731981.769,1691788731981.769,3.0,342.5,8.0,500.0
4.800501302338705e-12,1.6917887319817244e+21,1691833524648.9658,1691833524648.9658,3.147016698986878,342.5,8.0,500.0
9.60100260467741e-12,1.691788731981675e+21,1691882730826.9055,1691882730826.9055,3.293966308483132,342.5,7.999999999999999,500.0
5.7606015628064463e-11,1.6917887319807804e+21,1692777452496.5117,1692777452496.5117,4.756906185119875,342.5,8.0,500.0
1.0561102865145152e-10,1.6917887319794152e+21,1694142872350.8555,1694142872350.8555,6.210151963254298,342.5,8.0,500.0
2.420928382790261e-10,1.6917887319744564e+21,1699101293584.7864,1699101293584.7864,10.301064811150965,342.5,7.999999999999999,500.0
3.7857464790660067e-10,1.6917887319687116e+21,1704845971910.4265,1704845971910.4265,14.339108599885199,342.5,7.999999999999998,500.0
5.150564575341752e-10,1.691788731962793e+21,1710765017517.7087,1710765017517.7087,18.33229818564757,342.5,8.0,500.0
8.183100385867092e-10,1.6917887319496086e+21,1723949158629.2893,1723949158629.2893,27.05663263942007,342.5,7.999999999999999,500.0
1.1215636196392432e-09,1.6917887319363148e+21,1737242820117.2075,1737242820117.2075,35.57809143843411,342.5,7.999999999999998,500.0
1.4248172006917771e-09,1.691788731922932e+21,1750625864056.4087,1750625864056.4087,43.900950311432304,342.5,8.0,500.0
3.381330234216714e-09,1.691788731834044e+21,1839514038447.6663,1839514038447.6663,93.06761774433546,342.5,8.0,500.0
5.337843267741651e-09,1.691788731740696e+21,1932862022072.5222,1932862022072.5222,134.99721446623838,342.5,8.0,500.0
7.294356301266588e-09,1.691788731642624e+21,2030934145288.1868,2030934145288.1868,170.49224310799613,342.5,8.000000000000002,500.0
1.3070716329065829e-08,1.6917887313231455e+21,2350412763788.921,2350412763788.921,244.37053315085487,342.5,8.000000000000002,500.0
1.884707635686507e-08,1.691788730953361e+21,2720197320759.323,2720197320759.323,283.3255468093278,342.5,8.000000000000002,500.0
2.462343638466431e-08,1.691788730525382e+21,3148176353396.749,3148176353396.749,298.44006366069254,342.5,8.000000000000004,500.0
3.039979641246355e-08,1.691788730030084e+21,3643474569554.0093,3643474569554.0093,297.6658286235029,342.5,8.000000000000004,500.0
4.3160804739363806e-08,1.69178872864151e+21,5032048550057.396,5032048550057.396,265.3641232980225,342.5,8.000000000000004,500.0
5.592181306626406e-08,1.691788726723198e+21,6950360831696.989,6950360831696.989,217.32376775567926,342.5,8.000000000000004,500.0
6.868282139316431e-08,1.6917887240734677e+21,9600090548062.137,9600090548062.137,169.58285158317003,342.5,8.000000000000002,500.0
8.144382972006456e-08,1.6917887204137037e+21,13259854501026.418,13259854501026.418,128.22584902139246,342.5,8.000000000000002,500.0
9.420483804696481e-08,1.6917887153588664e+21,18314691503879.062,18314691503879.062,94.7327446328075,342.5,8.0,500.0
1.1016780154300972e-07,1.6917887062321395e+21,27441418889964.008,27441418889964.008,63.08378076173698,342.5,8.000000000000004,500.0
1.2613076503905463e-07,1.6917886925525976e+21,41120960476229.04,41120960476229.04,40.69452282848567,342.5,8.0,500.0
1.4209372853509953e-07,1.6917886720544803e+21,61619077880721.24,61619077880721.24,25.189142603515634,342.5,8.000000000000002,500.0
1.5805669203114444e-07,1.6917886413401534e+21,92333404781624.75,92333404781624.75,14.590934823398838,342.5,8.000000000000002,500.0
1.6396713267027094e-07,1.6917886264619177e+21,107211640239771.61,107211640239771.61,11.604705916845447,342.5,8.0,500.0
1.6987757330939744e-07,1.6917886091845918e+21,124488966461583.05,124488966461583.05,9.020417289346652,342.5,8.000000000000002,500.0
1.7398349872197699e-07,1.691788596088424e+21,137585134143997.6,137585134143997.6,7.539241957745549,342.5,8.000000000000002,500.0
1.7808942413455653e-07,1.6917885834356927e+21,150237865487592.75,150237865487592.75,6.502028120917626,342.5,8.000000000000002,500.0
1.8067948100769812e-07,1.691788576156372e+21,157517186041234.53,157517186041234.53,6.088399136982447,342.5,8.0,500.0
