variant_id,variant_category,step_id,local_final_ne_m3,pygmol_final_ne_m3,ratio_final_ne_pygmol_over_local,local_final_mean_energy_eV,pygmol_final_mean_energy_equiv_eV,ratio_final_mean_energy_equiv_pygmol_over_local,local_mean_absorbed_power_W,pygmol_mean_absorbed_power_W,local_final_wafer_ion_flux_m2_s,pygmol_final_cylinder_wall_Arplus_flux_m2_s,power_scale,wall_area_scale,surface_sticking_scale,arrhenius_a_scale,electron_energy_loss_scale
baseline,baseline,ignition,7.826435992375635e+16,2.286505590329249e+16,0.29215157353317894,1.664451713571195,2.7585615926475424,1.6573395131594775,333.6391345557527,504.80035790414064,4.089398865112433e+19,1.652488699990381e+18,1.0,1.0,1.0,1.0,1.0
baseline,baseline,production,2.4107268447347296e+17,1.4509249525759914e+17,0.6018620300118023,1.662612635192909,2.4279868653347414,1.4603442882250368,1094.0823474742563,1489.1737254133313,1.2669029679693693e+20,9.960273086396508e+18,1.0,1.0,1.0,1.0,1.0
baseline,baseline,afterglow,418033350741352.1,1.1573186690253064e+17,276.84840622713114,0.8839174015298619,0.35307287090212663,0.3994410227596346,0.0,0.0,2.4849111237958995e+17,2.5091032913011164e+18,1.0,1.0,1.0,1.0,1.0
ionization_rate_x0p5,rate,ignition,7.826435992375635e+16,1.5006471484979226e+16,0.1917408064104561,1.664451713571195,2.9605888719865474,1.7787171882772146,333.6391345557527,502.4947045668605,4.089398865112433e+19,1.1141504673517325e+18,1.0,1.0,1.0,0.5,1.0
ionization_rate_x0p5,rate,production,2.4107268447347296e+17,9.313049549993048e+16,0.3863170798605278,1.662612635192909,2.593582480497291,1.5599439253608005,1094.0823474742563,1492.5475435292492,1.2669029679693693e+20,6.568460491121218e+18,1.0,1.0,1.0,0.5,1.0
ionization_rate_x0p5,rate,afterglow,418033350741352.1,7.42732803776194e+16,177.67309772270815,0.8839174015298619,0.3533943706474174,0.39980474423941803,0.0,0.0,2.4849111237958995e+17,1.6112720987389903e+18,1.0,1.0,1.0,0.5,1.0
ionization_rate_x2,rate,ignition,7.826435992375635e+16,3.47246481676015e+16,0.4436840498207561,1.664451713571195,2.588656215548935,1.5552606269332958,333.6391345557527,505.07869183083085,4.089398865112433e+19,2.4472067360331397e+18,1.0,1.0,1.0,2.0,1.0
ionization_rate_x2,rate,production,2.4107268447347296e+17,2.2544998518304637e+17,0.9351950664815131,1.662612635192909,2.2863316428142997,1.3751439117079862,1094.0823474742563,1497.308448015985,1.2669029679693693e+20,1.5087244826160237e+19,1.0,1.0,1.0,2.0,1.0
ionization_rate_x2,rate,afterglow,418033350741352.1,1.7986415818775117e+17,430.26270001849133,0.8839174015298619,0.3529503293472966,0.39930238813764624,0.0,0.0,2.4849111237958995e+17,3.898675847426568e+18,1.0,1.0,1.0,2.0,1.0
excitation_rate_x0p5,rate,ignition,7.826435992375635e+16,4.4053176429658216e+16,0.5628765950756383,1.664451713571195,2.749449687623755,1.6518650947972668,333.6391345557527,504.1123382041472,4.089398865112433e+19,3.1797000639564365e+18,1.0,1.0,1.0,0.5,1.0
