t,Ar,Ar+,e,T_e,T_n,p,P
0.0,1.6917887319817692e+21,1691788731981.769,1691788731981.769,3.0,342.5,8.0,500.0
6.278266804146848e-12,1.6917887319817658e+21,1691792078735.4963,1691792078735.4963,3.1927761515941757,342.5,8.0,500.0
1.2556533608293696e-11,1.691788731981761e+21,1691796807902.9858,1691796807902.9858,3.385488999548965,342.5,8.0,500.0
7.533920164976218e-11,1.6917887319813999e+21,1692158298645.9463,1692158298645.9463,5.302989288333622,342.5,8.000000000000002,500.0
1.3812186969123066e-10,1.6917887319803324e+21,1693225249158.2783,1693225249158.2783,7.201986499315773,342.5,7.999999999999999,500.0
2.540255141251507e-10,1.6917887319758647e+21,1697693344557.7478,1697693344557.7478,10.638092815651541,342.5,8.0,500.0
3.699291585590708e-10,1.691788731967408e+21,1706150380416.3875,1706150380416.3875,13.943855123646246,342.5,8.000000000000002,500.0
4.858328029929908e-10,1.6917887319545338e+21,1719024149768.9072,1719024149768.9072,17.0769894283753,342.5,8.0,500.0
7.328628263556033e-10,1.6917887319129323e+21,1760625691055.1643,1760625691055.1643,23.060370994431565,342.5,8.0,500.0
9.798928497182156e-10,1.6917887318530882e+21,1820469634379.8442,1820469634379.8442,27.97163753053209,342.5,8.0,500.0
1.2269228730808279e-09,1.6917887317774563e+21,1896101562414.9553,1896101562414.9553,31.80627805964716,342.5,7.999999999999999,500.0
1.4739528964434401e-09,1.6917887316883496e+21,1985208501578.1572,1985208501578.1572,34.66336655419372,342.5,8.0,500.0
1.8895861564108196e-09,1.6917887315122423e+21,2161315487294.2273,2161315487294.2273,37.655762564699174,342.5,7.999999999999999,500.0
2.305219416378199e-09,1.6917887313085375e+21,2365020098392.497,2365020098392.497,38.95718992523214,342.5,7.999999999999999,500.0
2.7208526763455786e-09,1.691788731081415e+21,2592143059338.2104,2592143059338.2104,39.14544656124888,342.5,8.0,500.0
3.136485936312958e-09,1.691788730833847e+21,2839711230872.816,2839711230872.816,38.645167780368766,342.5,8.000000000000002,500.0
3.883409001310122e-09,1.6917887303441216e+21,3329436404872.3223,3329436404872.3223,36.84360292511988,342.5,8.0,500.0
4.630332066307287e-09,1.6917887298055782e+21,3867979968844.654,3867979968844.654,34.64873027148611,342.5,8.000000000000002,500.0
5.377255131304451e-09,1.6917887292253728e+21,4448185027862.278,4448185027862.278,32.46701496358164,342.5,7.999999999999999,500.0
6.124178196301616e-09,1.691788728608583e+21,5064974655600.751,5064974655600.751,30.4419301312643,342.5,7.999999999999999,500.0
7.072210922770752e-09,1.691788727779164e+21,5894393853200.307,5894393853200.307,28.152004413006395,342.5,7.999999999999999,500.0
8.020243649239888e-09,1.6917887269041637e+21,6769394204169.41,6769394204169.41,26.175549012556335,342.5,8.0,500.0
8.968276375709024e-09,1.6917887259893975e+21,7684160823433.517,7684160823433.517,24.476992889202936,342.5,8.000000000000002,500.0
9.91630910217816e-09,1.691788725039573e+21,8633984842142.398,8633984842142.398,23.01181644746274,342.5,7.999999999999999,500.0
1.1924902860733513e-08,1.6917887229283412e+21,10745216481474.393,10745216481474.393,20.503497896330433,342.5,7.999999999999999,500.0
1.3933496619288865e-08,1.6917887207092595e+21,12964297712315.719,12964297712315.719,18.593393410166946,342.5,7.9999999999999964,500.0
1.594209037784422e-08,1.6917887184069e+21,15266657717376.482,15266657717376.482,17.096967665328883,342.5,7.999999999999999,500.0
1.7950684136399573e-08,1.6917887160403813e+21,17633176603182.645,17633176603182.645,15.895495414969767,342.5,8.0,500.0
2.231092484794133e-08,1.6917887107415878e+21,22931969842978.527,22931969842978.527,13.954190362742713,342.5,7.999999999999999,500.0
2.6671165559483086e-08,1.6917887053120778e+21,28361480190558.734,28361480190558.734,12.595036078937285,342.5,8.0,500.0
3.103140627102484e-08,1.6917886998207196e+21,33852838676881.316,33852838676881.316,11.588658542306513,342.5,8.000000000000002,500.0
3.539164698256659e-08,1.691788694307817e+21,39365740893312.86,39365740893312.86,10.810535134593946,342.5,8.0,500.0
4.3139125567758664e-08,1.6917886845250526e+21,49148505527450.54,49148505527450.54,9.783376608022811,342.5,8.000000000000002,500.0
5.0886604152950735e-08,1.6917886748383416e+21,58835215969813.44,58835215969813.44,9.043674349199172,342.5,7.999999999999998,500.0
5.8634082738142806e-08,1.691788665290197e+21,68383360754261.836,68383360754261.836,8.48203761607788,342.5,7.999999999999999,500.0
6.638156132333488e-08,1.6917886558955443e+21,77778013469740.31,77778013469740.31,8.038318176053114,342.5,7.999999999999999,500.0
8.19369565161462e-08,1.6917886375010147e+21,96172543574420.23,96172543574420.23,7.372301692224028,342.5,8.000000000000002,500.0
9.749235170895751e-08,1.6917886197292152e+21,113944342390242.16,113944342390242.16,6.895053255879972,342.5,7.999999999999998,500.0
1.1304774690176882e-07,1.6917886025365775e+21,131136980405440.42,131136980405440.42,6.532504227029299,342.5,8.0,500.0
1.2860314209458014e-07,1.6917885858686616e+21,147804896476722.78,147804896476722.78,6.244860193743008,342.5,8.0,500.0
1.582149557109602e-07,1.6917885554303005e+21,178243257058091.62,178243257058091.62,5.829878391996182,342.5,7.999999999999998,500.0
1.8782676932734024e-07,1.6917885264503487e+21,207223209085135.75,207223209085135.75,5.525537489896043,342.5,7.999999999999999,500.0
2.174385829437203e-07,1.6917884987023407e+21,234971216870495.5,234971216870495.5,5.289628303398797,342.5,7.999999999999998,500.0
2.470503965601003e-07,1.691788472011523e+21,261662034524288.44,261662034524288.44,5.099149201758128,342.5,7.999999999999999,500.0
3.0213964369696646e-07,1.6917884247728215e+21,308900736677892.7,308900736677892.7,4.825044048580904,342.5,8.000000000000002,500.0
3.572288908338326e-07,1.6917883801259483e+21,353547609624416.2,353547609624416.2,4.6194651783365375,342.5,8.0,500.0
4.1231813797069875e-07,1.6917883376027894e+21,396070768606225.7,396070768606225.7,4.457158833980549,342.5,8.0,500.0
4.674073851075649e-07,1.6917882968547357e+21,436818821892534.44,436818821892534.44,4.323601812178935,342.5,7.999999999999998,500.0
5.683351762923929e-07,1.6917882260516564e+21,507621901120612.5,507621901120612.5,4.129892271039234,342.5,7.999999999999998,500.0
6.692629674772208e-07,1.6917881592960778e+21,574377479348002.1,574377479348002.1,3.9818768712991806,342.5,7.9999999999999964,500.0
7.701907586620488e-07,1.6917880959175486e+21,637756008801948.2,637756008801948.2,3.8647454459322153,342.5,7.999999999999998,500.0
8.711185498468767e-07,1.6917880354021067e+21,698271450810583.1,698271450810583.1,3.767637961770442,342.5,7.999999999999998,500.0
1.05507014382716e-06,1.69178793083572e+21,802837836456298.9,802837836456298.9,3.625025695561275,342.5,7.999999999999993,500.0
1.2390217378074431e-06,1.6917878324958255e+21,901177730370218.2,901177730370218.2,3.5125915298127843,342.5,7.99999999999999,500.0
1.4229733317877263e-06,1.6917877391471047e+21,994526450695519.8,994526450695519.8,3.421176579535988,342.5,7.999999999999988,500.0
1.76965488787335e-06,1.69178757440297e+21,1159270585231787.5,1159270585231787.5,3.287416771644716,342.5,7.999999999999988,500.0
2.1163364439589736e-06,1.6917874211425128e+21,1312531043308440.8,1312531043308440.8,3.187029901666896,342.5,7.999999999999992,500.0
2.463018000044597e-06,1.691787277006389e+21,1456667166863459.0,1456667166863459.0,3.1067121568718115,342.5,7.99999999999999,500.0
2.8096995561302208e-06,1.6917871399047167e+21,1593768838580235.5,1593768838580235.5,3.0385641114839887,342.5,7.999999999999988,500.0
3.502590656267467e-06,1.6917868830879604e+21,1850585594061709.5,1850585594061709.5,2.9318507151538498,342.5,7.999999999999983,500.0
4.195481756404713e-06,1.6917866436808275e+21,2089992726807849.8,2089992726807849.8,2.850369145121537,342.5,7.999999999999983,500.0
4.88837285654196e-06,1.6917864181036606e+21,2315569893610155.0,2315569893610155.0,2.784871199108949,342.5,7.999999999999983,500.0
5.5812639566792064e-06,1.6917862040840118e+21,2529589542286141.5,2529589542286141.5,2.7304328250570182,342.5,7.999999999999982,500.0
6.817950223637915e-06,1.6917858457902194e+21,2887883335076136.0,2887883335076136.0,2.652422783768156,342.5,7.999999999999984,500.0
8.054636490596624e-06,1.6917855113828995e+21,3222290654619990.0,3222290654619990.0,2.591016435398588,342.5,7.999999999999982,500.0
9.291322757555331e-06,1.6917851957777814e+21,3537895771697352.5,3537895771697352.5,2.5405944415619994,342.5,7.999999999999977,500.0
1.052800902451404e-05,1.691784895642004e+21,3838031548456126.0,3838031548456126.0,2.498026279200503,342.5,7.999999999999974,500.0
1.2801216889629939e-05,1.6917843776275273e+21,4356046025658363.0,4356046025658363.0,2.434478499600552,342.5,7.999999999999977,500.0
1.5074424754745838e-05,1.6917838942780827e+21,4839395469498638.0,4839395469498638.0,2.3841289299656783,342.5,7.999999999999973,500.0
1.7347632619861737e-05,1.691783438625891e+21,5295047659002698.0,5295047659002698.0,2.3424747624292728,342.5,7.999999999999962,500.0
1.9620840484977635e-05,1.6917830056787832e+21,5727994766180546.0,5727994766180546.0,2.306938414627997,342.5,7.999999999999959,500.0
2.409918899954489e-05,1.6917822071949102e+21,6526478649575488.0,6526478649575488.0,2.249997807863937,342.5,8.000000000000009,500.0
2.8577537514112146e-05,1.6917814660699833e+21,7267603594857140.0,7267603594857140.0,2.205542206021868,342.5,8.000000000000096,500.0
3.30558860286794e-05,1.6917807726773202e+21,7960996265686530.0,7960996265686530.0,2.1696110683263834,342.5,8.000000000000131,500.0
3.753423454324666e-05,1.6917801195388684e+21,8614134708188627.0,8614134708188627.0,2.13909378519899,342.5,8.000000000000089,500.0
4.55496527336973e-05,1.691779025867338e+21,9707806245605012.0,9707806245605012.0,2.093056051800752,342.5,8.00000000000012,500.0
5.356507092414794e-05,1.691778012463853e+21,1.0721209740189708e+16,1.0721209740189708e+16,2.057499525555785,342.5,8.000000000000167,500.0
6.158048911459858e-05,1.6917770651651002e+21,1.1668508498371472e+16,1.1668508498371472e+16,2.0277312764015525,342.5,8.000000000000192,500.0
