time_s,step_id,self_bias_V,plasma_potential_V,total_absorbed_power_W,electron_density_m3,mean_electron_energy_eV,port_dc_series_drive_absorbed_power_W,port_dc_series_drive_source_voltage_V,port_dc_series_drive_gap_voltage_V,port_dc_series_drive_current_A,port_dc_series_drive_delivered_power_W,port_dc_series_drive_ballast_resistance_ohm,port_dc_series_drive_plasma_resistance_ohm,port_dc_series_drive_plasma_conductance_S,port_dc_series_drive_conductance_multiplier,port_dc_series_drive_electron_mobility_m2_V_s,port_dc_series_drive_electric_field_V_m,port_dc_series_drive_reduced_field_Td,port_dc_series_drive_gap_m,port_dc_series_drive_electrode_area_m2,port_dc_series_drive_waveform_multiplier,ne_plasma_m3,mean_energy_plasma_eV,pabs_plasma_W,Tg_plasma_K,pressure_plasma_Pa,total_density_plasma_m3,electronegativity_plasma,residence_time_plasma_s,debye_length_plasma_m,EoverN_plasma_Td,ion_loss_family_plasma,ion_loss_area_plasma_m2,ion_loss_h_factor_plasma,ion_loss_characteristic_length_plasma_m,ambipolar_loss_rate_plasma_s,warning_high_electronegativity_plasma,warning_ion_ion_afterglow_plasma,warning_pressure_deviation_plasma,warning_debye_ratio_plasma,film_wall_m
0.0,dc_series_circuit,0.0,24.9954707729958,0.00045284064483087666,2000000000000.0002,3.0,0.00045284064483087666,500.0,499.90941545991603,9.058454008397978e-07,0.00045284064483087666,100000.0,551870567.534434,1.8120190835102019e-09,1.0,0.45,124977.353864979,38.82691120184649,0.004,5.0265482457e-05,1.0,2000000000000.0,3.0,0.00045284064483087666,300.0,13332.236840008285,3.2188332781680413e+24,0.0,inf,0.009104682332231951,38.82691120184649,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,1,0.0
5.025125628140704e-06,dc_series_circuit,0.0,2.998897320241332,0.2639161914747306,8.097483658616683e+16,0.9075891990016928,0.2639161914747306,500.0,59.97794640482664,0.004400220535951733,0.2639161914747306,100000.0,13630.668261915622,7.336397458912718e-05,1.0,0.45,14994.48660120666,4.658360867927306,0.004,5.0265482457e-05,1.0,8.097483658616683e+16,0.9075891990016928,0.2639161914747306,300.0,13332.236500183759,3.218833196123407e+24,0.0,inf,2.488793061649742e-05,4.658360867927306,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
1.0050251256281408e-05,dc_series_circuit,0.0,2.8499976152235487,0.2525098158952352,8.578206747739208e+16,0.8879202317916789,0.2525098158952352,500.0,56.99995230447097,0.00443000047695529,0.2525098158952352,100000.0,12866.805003968455,7.771937164599713e-05,1.0,0.45,14249.988076117743,4.427066344610108,0.004,5.0265482457e-05,1.0,8.578206747739208e+16,0.8879202317916789,0.2525098158952352,300.0,13332.236467106706,3.2188331881375366e+24,0.0,inf,2.3917065305130066e-05,4.427066344610108,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
1.5075376884422112e-05,dc_series_circuit,0.0,2.8051692218988364,0.24904102473592954,8.732930450128218e+16,0.8797012974250715,0.24904102473592954,500.0,56.10338443797673,0.004438966155620233,0.24904102473592954,100000.0,12638.840322524988,7.912118315299833e-05,1.0,0.45,14025.846109494181,4.357431811222576,0.004,5.0265482457e-05,1.0,8.732930450128218e+16,0.8797012974250715,0.24904102473592954,300.0,13332.23644855648,3.2188331836589116e+24,0.0,inf,2.359428296672476e-05,4.357431811222576,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
2.0100502512562815e-05,dc_series_circuit,0.0,2.782725930385413,0.24729833862398382,8.812265351743126e+16,0.8749196050715057,0.24729833862398382,500.0,55.654518607708255,0.004443454813922917,0.24729833862398382,100000.0,12525.055601628477,7.983996493157143e-05,1.0,0.45,13913.629651927064,4.3225693516488874,0.004,5.0265482457e-05,1.0,8.812265351743128e+16,0.8749196050715057,0.24729833862398382,300.0,13332.236433390479,3.2188331799973484e+24,0.0,inf,2.34239136934555e-05,4.3225693516488874,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
2.5125628140703518e-05,dc_series_circuit,0.0,2.7698021373510566,0.24629299821480774,8.858533066622376e+16,0.8721472539886035,0.24629299821480774,500.0,55.39604274702113,0.004446039572529789,0.24629299821480774,100000.0,12459.637806485127,8.025915484312948e-05,1.0,0.45,13849.010686755282,4.30249407989977,0.004,5.0265482457e-05,1.0,8.858533066622376e+16,0.8721472539886036,0.24629299821480774,300.0,13332.23641955837,3.21883317665783e+24,0.0,inf,2.3325618679552133e-05,4.30249407989977,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
3.0150753768844224e-05,dc_series_circuit,0.0,2.7623191592095284,0.2457102873716087,8.885520346438552e+16,0.870541346225971,0.2457102873716087,500.0,55.24638318419056,0.004447536168158094,0.2457102873716087,100000.0,12421.795145753775,8.050366217332417e-05,1.0,0.45,13811.59579604764,4.290870340758765,0.004,5.0265482457e-05,1.0,8.885520346438552e+16,0.8705413462259711,0.2457102873716087,300.0,13332.236406503978,3.2188331735060776e+24,0.0,inf,2.3268716943304076e-05,4.290870340758765,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
3.517587939698493e-05,dc_series_circuit,0.0,2.7579723927653585,0.2453715923995123,8.90126415399941e+16,0.8696082921029965,0.2453715923995123,500.0,55.159447855307164,0.004448405521446928,0.2453715923995123,100000.0,12399.824519003274,8.06463025720611e-05,1.0,0.45,13789.86196382679,4.284118260729774,0.004,5.0265482457e-05,1.0,8.90126415399941e+16,0.8696082921029967,0.2453715923995123,300.0,13332.236393903133,3.218833170463826e+24,0.0,inf,2.323566784258191e-05,4.284118260729774,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
4.020100502512563e-05,dc_series_circuit,0.0,2.7554425599979178,0.24517440119400027,8.910449970675886e+16,0.8690651796954701,0.24517440119400027,500.0,55.10885119995835,0.004448911488000417,0.24517440119400027,100000.0,12387.041492868017,8.072952694763812e-05,1.0,0.45,13777.212799989587,4.280188528923468,0.004,5.0265482457e-05,1.0,8.910449970675886e+16,0.8690651796954701,0.24517440119400027,300.0,13332.236381566834,3.218833167485444e+24,0.0,inf,2.321643459473867e-05,4.280188528923468,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
4.522613065326633e-05,dc_series_circuit,0.0,2.7539684284143164,0.24505947442262038,8.915810320940213e+16,0.8687486820633505,0.24505947442262038,500.0,55.07936856828633,0.004449206314317137,0.24505947442262038,100000.0,12379.59417414427,8.077809223250441e-05,1.0,0.45,13769.842142071582,4.2778986788589695,0.004,5.0265482457e-05,1.0,8.915810320940213e+16,0.8687486820633505,0.24505947442262038,300.0,13332.236369384853,3.21883316454432e+24,0.0,inf,2.320522785613149e-05,4.2778986788589695,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
5.0251256281407036e-05,dc_series_circuit,0.0,2.753108826774907,0.24499244982922702,8.91893871992465e+16,0.8685641147287515,0.24499244982922702,500.0,55.06217653549813,0.004449378234645018,0.24499244982922702,100000.0,12375.251918741658,8.080643582580758e-05,1.0,0.45,13765.544133874533,4.276563413720209,0.004,5.0265482457e-05,1.0,8.918938719924651e+16,0.8685641147287514,0.24499244982922702,300.0,13332.23635729291,3.218833161624933e+24,0.0,inf,2.3198693080397063e-05,4.276563413720209,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
5.527638190954774e-05,dc_series_circuit,0.0,2.7526073402264166,0.24495334534476823,8.920764711977221e+16,0.8684564354214265,0.24495334534476823,500.0,55.05214680452833,0.004449478531954716,0.24495334534476823,100000.0,12372.718827422497,8.082297948803557e-05,1.0,0.45,13763.036701132081,4.275784429477125,0.004,5.0265482457e-05,1.0,8.920764711977221e+16,0.8684564354214265,0.24495334534476823,300.0,13332.236345253501,3.218833158718231e+24,0.0,inf,2.3194880773733395e-05,4.275784429477125,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
6.030150753768845e-05,dc_series_circuit,0.0,2.7523146870251773,0.24493052415685973,8.92183061615628e+16,0.8683935954210614,0.24493052415685973,500.0,55.04629374050354,0.004449537062594965,0.24493052415685973,100000.0,12371.240640571406,8.08326366816038e-05,1.0,0.45,13761.573435125885,4.27532983815829,0.004,5.0265482457e-05,1.0,8.92183061615628e+16,0.8683935954210614,0.24493052415685973,300.0,13332.236333244753,3.218833155818931e+24,0.0,inf,2.3192656033439853e-05,4.27532983815829,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
6.532663316582915e-05,dc_series_circuit,0.0,2.752143867729206,0.24491720329820274,8.922452880540181e+16,0.868356915739312,0.24491720329820274,500.0,55.04287735458412,0.0044495712264541595,0.24491720329820274,100000.0,12370.377852889773,8.083827445629688e-05,1.0,0.45,13760.71933864603,4.275064498495657,0.004,5.0265482457e-05,1.0,8.922452880540181e+16,0.868356915739312,0.24491720329820274,300.0,13332.236321253906,3.218833152923952e+24,0.0,inf,2.3191357475038972e-05,4.275064498495657,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
7.035175879396985e-05,dc_series_circuit,0.0,2.752044147319177,0.2449094267767427,8.922816180009499e+16,0.8683355028906791,0.2449094267767427,500.0,55.04088294638353,0.004449591170536164,0.2449094267767427,100000.0,12369.874183239008,8.084156598415406e-05,1.0,0.45,13760.220736595884,4.274909600847514,0.004,5.0265482457e-05,1.0,8.922816180009499e+16,0.8683355028906791,0.2449094267767427,300.0,13332.236309273503,3.218833150031495e+24,0.0,inf,2.3190599408808426e-05,4.274909600847514,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
7.537688442211056e-05,dc_series_circuit,0.0,2.7519859264823125,0.24490488649000441,8.923028301209731e+16,0.8683230012815933,0.24490488649000441,500.0,55.03971852964625,0.004449602814703538,0.24490488649000441,100000.0,12369.580122470632,8.084348782246826e-05,1.0,0.45,13759.929632411562,4.2748191668882765,0.004,5.0265482457e-05,1.0,8.923028301209733e+16,0.8683230012815931,0.24490488649000441,300.0,13332.236297299194,3.21883314714051e+24,0.0,inf,2.3190156821256173e-05,4.2748191668882765,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
8.040201005025126e-05,dc_series_circuit,0.0,2.7519519318429313,0.2449022354435969,8.923152161080685e+16,0.8683157018605618,0.2449022354435969,500.0,55.03903863685862,0.004449609613631413,0.2449022354435969,100000.0,12369.408423661731,8.084461000471749e-05,1.0,0.45,13759.759659214655,4.274766364883782,0.004,5.0265482457e-05,1.0,8.923152161080685e+16,0.868315701860562,0.2449022354435969,300.0,13332.236285328452,3.2188331442503855e+24,0.0,inf,2.3189898400803113e-05,4.274766364883782,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
8.542713567839196e-05,dc_series_circuit,0.0,2.751932081032571,0.24490068738879206,8.923224489158366e+16,0.8683114396285218,0.24490068738879206,500.0,55.03864162065142,0.004449613583793486,0.24490068738879206,100000.0,12369.308162199699,8.084526530400265e-05,1.0,0.45,13759.660405162855,4.274735533307561,0.004,5.0265482457e-05,1.0,8.923224489158366e+16,0.8683114396285218,0.24490068738879206,300.0,13332.236273359791,3.218833141360763e+24,0.0,inf,2.3189747501564723e-05,4.274735533307561,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
9.045226130653267e-05,dc_series_circuit,0.0,2.7519204885398216,0.24489978335300114,8.923266727851955e+16,0.868308950781913,0.24489978335300114,500.0,55.03840977079643,0.004449615902292036,0.24489978335300114,100000.0,12369.249611510437,8.084564799059688e-05,1.0,0.45,13759.602442699106,4.274717529854096,0.004,5.0265482457e-05,1.0,8.923266727851955e+16,0.8683089507819128,0.24489978335300114,300.0,13332.236261392336,3.2188331384714324e+24,0.0,inf,2.31896593822258e-05,4.274717529854096,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
9.547738693467337e-05,dc_series_circuit,0.0,2.7519137185806675,0.24489925540001686,8.923291395207334e+16,0.8683074975444529,0.24489925540001686,500.0,55.03827437161335,0.004449617256283867,0.24489925540001686,100000.0,12369.21541822206,8.084587147919031e-05,1.0,0.45,13759.568592903337,4.274707017521208,0.004,5.0265482457e-05,1.0,8.923291395207334e+16,0.8683074975444529,0.24489925540001686,300.0,13332.236249425592,3.2188331355822734e+24,0.0,inf,2.3189607924141448e-05,4.274707017521208,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00010050251256281407,dc_series_circuit,0.0,2.7519097640593913,0.2448989470078375,8.923305804151256e+16,0.8683066488576615,0.2448989470078375,500.0,55.038195281187825,0.004449618047188122,0.2448989470078375,100000.0,12369.195444981731,8.084600202559714e-05,1.0,0.45,13759.548820296955,4.274700878570948,0.004,5.0265482457e-05,1.0,8.923305804151258e+16,0.8683066488576614,0.2448989470078375,300.0,13332.23623745926,3.2188331326932137e+24,0.0,inf,2.3189577868581926e-05,4.274700878570948,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00010552763819095478,dc_series_circuit,0.0,2.7519074539271204,0.2448987668527934,8.923314221514525e+16,0.8683061533164138,0.2448987668527934,500.0,55.0381490785424,0.004449618509214576,0.2448987668527934,100000.0,12369.183777118336,8.08460782877115e-05,1.0,0.45,13759.5372696356,4.274697293945318,0.004,5.0265482457e-05,1.0,8.923314221514525e+16,0.868306153316414,0.2448987668527934,300.0,13332.236225493167,3.218833129804212e+24,0.0,inf,2.3189560314087948e-05,4.274697293945318,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00011055276381909548,dc_series_circuit,0.0,2.75190610395069,0.2448986615752247,8.923319140391803e+16,0.8683058639515634,0.2448986615752247,500.0,55.03812207901379,0.004449618779209862,0.2448986615752247,100000.0,12369.176958747721,8.084612285320897e-05,1.0,0.45,13759.530519753447,4.2746952007853345,0.004,5.0265482457e-05,1.0,8.923319140391803e+16,0.8683058639515632,0.2448986615752247,300.0,13332.236213527218,3.2188331269152447e+24,0.0,inf,2.3189550058613442e-05,4.2746952007853345,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.00011557788944723618,dc_series_circuit,0.0,2.751905314676828,0.24489860002389652,8.92332201625259e+16,0.8683056949950383,0.24489860002389652,500.0,55.03810629353656,0.004449618937064635,0.24489860002389652,100000.0,12369.172972336502,8.084614890878212e-05,1.0,0.45,13759.526573384139,4.274693978597111,0.004,5.0265482457e-05,1.0,8.92332201625259e+16,0.8683056949950383,0.24489860002389652,300.0,13332.23620156135,3.218833124026297e+24,0.0,inf,2.3189544065648705e-05,4.274693978597111,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.0001206030150753769,dc_series_circuit,0.0,2.751904853133305,0.24489856403053595,8.923323697969907e+16,0.8683055964041915,0.24489856403053595,500.0,55.0380970626661,0.004449619029373339,0.24489856403053595,100000.0,12369.17064120372,8.084616414530148e-05,1.0,0.45,13759.524265666523,4.274693265491393,0.004,5.0265482457e-05,1.0,8.923323697969907e+16,0.8683055964041915,0.24489856403053595,300.0,13332.236189595535,3.218833121137362e+24,0.0,inf,2.3189540563945854e-05,4.274693265491393,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.0001256281407035176,dc_series_circuit,0.0,2.7519045880809383,0.24489854336049013,8.923324663736413e+16,0.8683055401342163,0.24489854336049013,500.0,55.03809176161876,0.004449619082383813,0.24489854336049013,100000.0,12369.16930249521,8.084617289523816e-05,1.0,0.45,13759.52294040469,4.274692857606765,0.004,5.0265482457e-05,1.0,8.923324663736411e+16,0.8683055401342165,0.24489854336049013,300.0,13332.236177629746,3.2188331182484334e+24,0.0,inf,2.318953855765877e-05,4.274692857606765,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.0001306532663316583,dc_series_circuit,0.0,2.751904430489702,0.24489853107077478,8.92332523794883e+16,0.8683055067906602,0.24489853107077478,500.0,55.03808860979403,0.00444961911390206,0.24489853107077478,100000.0,12369.168506544102,8.084617809765745e-05,1.0,0.45,13759.522152448508,4.274692616647731,0.004,5.0265482457e-05,1.0,8.923325237948829e+16,0.8683055067906603,0.24489853107077478,300.0,13332.236165663973,3.218833115359509e+24,0.0,inf,2.318953736629253e-05,4.274692616647731,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.000135678391959799,dc_series_circuit,0.0,2.751904336130847,0.24489852371222165,8.923325581762563e+16,0.8683054870404544,0.24489852371222165,500.0,55.03808672261693,0.004449619132773831,0.24489852371222165,100000.0,12369.168029962813,8.084618121264267e-05,1.0,0.45,13759.521680654232,4.274692473911216,0.004,5.0265482457e-05,1.0,8.923325581762562e+16,0.8683054870404544,0.24489852371222165,300.0,13332.236153698212,3.218833112470587e+24,0.0,inf,2.3189536655817703e-05,4.274692473911216,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
0.0001407035175879397,dc_series_circuit,0.0,2.7519042793081656,0.24489851928091813,8.923325788806397e+16,0.8683054753609453,0.24489851928091813,500.0,55.038085586163305,0.004449619144138366,0.24489851928091813,100000.0,12369.167742966683,8.084618308847956e-05,1.0,0.45,13759.521396540826,4.274692389481814,0.004,5.0265482457e-05,1.0,8.923325788806395e+16,0.8683054753609455,0.24489851928091813,300.0,13332.236141732452,3.2188331095816656e+24,0.0,inf,2.31895362308293e-05,4.274692389481814,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
