time_s,step_id,self_bias_V,plasma_potential_V,total_absorbed_power_W,electron_density_m3,mean_electron_energy_eV,port_dc_series_drive_absorbed_power_W,port_dc_series_drive_source_voltage_V,port_dc_series_drive_gap_voltage_V,port_dc_series_drive_current_A,port_dc_series_drive_delivered_power_W,port_dc_series_drive_ballast_resistance_ohm,port_dc_series_drive_plasma_resistance_ohm,port_dc_series_drive_plasma_conductance_S,port_dc_series_drive_conductance_multiplier,port_dc_series_drive_electron_mobility_m2_V_s,port_dc_series_drive_electric_field_V_m,port_dc_series_drive_reduced_field_Td,port_dc_series_drive_gap_m,port_dc_series_drive_electrode_area_m2,port_dc_series_drive_waveform_multiplier,ne_plasma_m3,mean_energy_plasma_eV,pabs_plasma_W,Tg_plasma_K,pressure_plasma_Pa,total_density_plasma_m3,electronegativity_plasma,residence_time_plasma_s,debye_length_plasma_m,EoverN_plasma_Td,ion_loss_family_plasma,ion_loss_area_plasma_m2,ion_loss_h_factor_plasma,ion_loss_characteristic_length_plasma_m,ambipolar_loss_rate_plasma_s,warning_high_electronegativity_plasma,warning_ion_ion_afterglow_plasma,warning_pressure_deviation_plasma,warning_debye_ratio_plasma,film_wall_m
0.0,dc_series_circuit,0.0,49.9909415459916,0.0018113625793235067,2000000000000.0002,3.0,0.0018113625793235067,1000.0,999.8188309198321,1.8116908016795956e-06,0.0018113625793235067,100000.0,551870567.534434,1.8120190835102019e-09,1.0,0.45,249954.707729958,77.65382240369298,0.004,5.0265482457e-05,1.0,2000000000000.0,3.0,0.0018113625793235067,300.0,13332.236840008285,3.2188332781680413e+24,0.0,inf,0.009104682332231951,77.65382240369298,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,1,0.0
5.025125628140704e-06,dc_series_circuit,0.0,3.4203644145498533,0.6372773119966947,1.503110593522684e+17,3.963335759703473,0.6372773119966947,1000.0,68.40728829099706,0.009315927117090029,0.6372773119966947,100000.0,7343.046744698569,0.0001361832540044725,1.0,0.45,17101.822072749263,5.313050221290914,0.004,5.0265482457e-05,1.0,1.503110593522684e+17,3.963335759703473,0.6372773119966947,300.0,13332.236225605793,3.2188331298314035e+24,0.0,inf,3.81728102186385e-05,5.313050221290914,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
1.0050251256281408e-05,dc_series_circuit,0.0,2.0443686435202,0.39215595610160553,2.589092879804885e+17,4.1556028973704535,0.39215595610160553,1000.0,40.887372870404,0.00959112627129596,0.39215595610160553,100000.0,4263.041869521677,0.00023457428535934185,1.0,0.45,10221.843217601,3.1756363797030285,0.004,5.0265482457e-05,1.0,2.5890928798048848e+17,4.1556028973704535,0.39215595610160553,300.0,13332.235743429828,3.218833013418527e+24,0.0,inf,2.9782583844140782e-05,3.1756363797030285,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
1.5075376884422112e-05,dc_series_circuit,0.0,1.8230813876183807,0.3513217745401539,2.916756607493898e+17,4.053225182582138,0.3513217745401539,1000.0,36.46162775236761,0.009635383722476324,0.3513217745401539,100000.0,3784.138629301715,0.00026426093173667094,1.0,0.45,9115.406938091903,2.8318980885572103,0.004,5.0265482457e-05,1.0,2.916756607493898e+17,4.053225182582138,0.3513217745401539,300.0,13332.235567927715,3.218832971046639e+24,0.0,inf,2.771210009620117e-05,2.8318980885572103,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
2.0100502512562815e-05,dc_series_circuit,0.0,1.7530428036588728,0.3383159244459339,3.0376982916996166e+17,4.002016864580956,0.3383159244459339,1000.0,35.060856073177455,0.009649391439268224,0.3383159244459339,100000.0,3633.4784731083873,0.00027521836372530224,1.0,0.45,8765.214018294364,2.723103111277597,0.004,5.0265482457e-05,1.0,3.0376982916996166e+17,4.002016864580956,0.3383159244459339,300.0,13332.235476900127,3.2188329490696346e+24,0.0,inf,2.6982756041908603e-05,2.723103111277597,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
2.5125628140703518e-05,dc_series_circuit,0.0,1.7212457972595478,0.33239841107357493,3.095853424785932e+17,3.975002162039245,0.33239841107357493,1000.0,34.42491594519095,0.00965575084054809,0.33239841107357493,100000.0,3565.2241357169164,0.0002804872742731262,1.0,0.45,8606.228986297738,2.673710989303038,0.004,5.0265482457e-05,1.0,3.095853424785932e+17,3.975002162039245,0.33239841107357493,300.0,13332.235411277949,3.218832933226318e+24,0.0,inf,2.6637757282871166e-05,2.673710989303038,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
3.0150753768844224e-05,dc_series_circuit,0.0,1.7029682660750343,0.3289932495539724,3.130265060623902e+17,3.958165931523237,0.3289932495539724,1000.0,34.059365321500685,0.009659406346784994,0.3289932495539724,100000.0,3526.030906944597,0.0002836050013147864,1.0,0.45,8514.841330375171,2.6453194505275786,0.004,5.0265482457e-05,1.0,3.130265060623902e+17,3.958165931523237,0.3289932495539724,300.0,13332.235355087134,3.2188329196600377e+24,0.0,inf,2.643477446287823e-05,2.6453194505275786,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
3.517587939698493e-05,dc_series_circuit,0.0,1.6910181067974943,0.32676545240943095,3.1531661485165914e+17,3.9464629753155736,0.32676545240943095,1000.0,33.820362135949885,0.009661796378640501,0.32676545240943095,100000.0,3500.4217446268212,0.0002856798617295213,1.0,0.45,8455.090533987472,2.6267565847050114,0.004,5.0265482457e-05,1.0,3.1531661485165914e+17,3.946462975315573,0.32676545240943095,300.0,13332.235303375348,3.2188329071751395e+24,0.0,inf,2.6299637152326593e-05,2.6267565847050114,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
4.020100502512563e-05,dc_series_circuit,0.0,1.682621418595861,0.325199424365902,3.169452004449981e+17,3.938054935469889,0.325199424365902,1000.0,33.65242837191722,0.009663475716280828,0.325199424365902,100000.0,3482.4352396540194,0.0002871553758166513,1.0,0.45,8413.107092979304,2.6137135311569515,0.004,5.0265482457e-05,1.0,3.169452004449981e+17,3.938054935469889,0.325199424365902,300.0,13332.235254190082,3.218832895300225e+24,0.0,inf,2.620402248387004e-05,2.6137135311569515,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
4.522613065326633e-05,dc_series_circuit,0.0,1.6764747190572493,0.3240526738768975,3.1814773010183104e+17,3.931832188040122,0.3240526738768975,1000.0,33.529494381144985,0.00966470505618855,0.3240526738768975,100000.0,3469.2723871252774,0.0002882448791599855,1.0,0.45,8382.373595286246,2.60416551522226,0.004,5.0265482457e-05,1.0,3.1814773010183104e+17,3.9318321880401226,0.3240526738768975,300.0,13332.235206605852,3.2188328838118526e+24,0.0,inf,2.6133780579923383e-05,2.60416551522226,ambipolar_diffusion,0.0,0.0,0.0,3230.0,0,0,0,0,0.0
