energy_eV,sigma_m2
13.33,0.0
13.622384,4.584709e-28
13.921181,6.98663e-26
14.226532,7.760837e-25
14.538581,3.229695e-24
14.857474,8.222548e-24
15.183362,1.575773e-23
15.516398,2.523759e-23
15.856738,3.583146e-23
16.204544,4.674305e-23
16.559979,5.733735e-23
16.92321,6.717066e-23
17.294409,7.597192e-23
17.673749,8.360631e-23
18.06141,9.003768e-23
18.457574,9.52962e-23
18.862427,9.945338e-23
19.276161,1.026037e-22
19.698969,1.04852e-22
20.131052,1.06305e-22
20.572612,1.07066e-22
21.023857,1.072316e-22
21.485,1.068904e-22
21.956258,1.061219e-22
22.437852,1.049971e-22
22.93001,1.035781e-22
23.432963,1.019193e-22
23.946948,1.000678e-22
24.472207,9.806443e-23
25.008987,9.594399e-23
25.557541,9.373631e-23
26.118127,9.146676e-23
26.691009,8.915683e-23
27.276457,8.682463e-23
27.874747,8.448537e-23
28.486159,8.215173e-23
29.110982,7.983423e-23
29.74951,7.754155e-23
30.402044,7.528075e-23
31.068891,7.305756e-23
31.750364,7.087653e-23
32.446785,6.874123e-23
33.158482,6.665439e-23
33.885789,6.461804e-23
34.629049,6.263358e-23
35.388612,6.070193e-23
36.164836,5.882358e-23
36.958085,5.699866e-23
37.768734,5.5227e-23
38.597163,5.350819e-23
39.443764,5.184163e-23
40.308934,5.022652e-23
41.193082,4.866197e-23
42.096622,4.714696e-23
43.019981,4.56804e-23
43.963592,4.426113e-23
44.927902,4.288794e-23
45.913363,4.155961e-23
46.920439,4.027487e-23
47.949605,3.903246e-23
49.001344,3.783111e-23
50.076153,3.666958e-23
51.174537,3.554659e-23
52.297013,3.446093e-23
53.44411,3.341138e-23
54.616368,3.239674e-23
55.814338,3.141586e-23
57.038585,3.046758e-23
58.289685,2.955081e-23
59.568227,2.866446e-23
60.874812,2.780748e-23
62.210057,2.697886e-23
63.574589,2.617759e-23
64.969052,2.540274e-23
66.3941,2.465335e-23
67.850407,2.392856e-23
69.338656,2.322747e-23
70.859549,2.254927e-23
72.413801,2.189313e-23
74.002146,2.125828e-23
75.625329,2.064397e-23
77.284115,2.004947e-23
78.979286,1.947409e-23
80.711639,1.891714e-23
82.48199,1.837798e-23
84.291173,1.785598e-23
86.140038,1.735054e-23
88.029457,1.686108e-23
89.960319,1.638704e-23
91.933533,1.592789e-23
93.950028,1.548309e-23
96.010754,1.505216e-23
98.11668,1.463462e-23
100.268798,1.422999e-23
102.468121,1.383784e-23
104.715685,1.345774e-23
107.012547,1.308928e-23
109.359789,1.273205e-23
111.758517,1.238567e-23
114.209858,1.204979e-23
116.714968,1.172403e-23
119.275026,1.140807e-23
121.891237,1.110156e-23
124.564833,1.080421e-23
127.297072,1.051569e-23
130.08924,1.023572e-23
132.942653,9.964009e-24
135.858653,9.70029e-24
138.838614,9.444299e-24
141.883938,9.195782e-24
144.996059,8.954495e-24
148.176442,8.720204e-24
151.426584,8.49268e-24
154.748016,8.271706e-24
158.142301,8.057072e-24
161.611037,7.848573e-24
165.155858,7.646014e-24
168.778431,7.449206e-24
172.480463,7.257967e-24
176.263697,7.07212e-24
180.129913,6.891497e-24
184.080931,6.715933e-24
188.118612,6.545271e-24
192.244857,6.379357e-24
196.461608,6.218046e-24
200.77085,6.061194e-24
205.174613,5.908664e-24
209.674969,5.760324e-24
214.274036,5.616047e-24
218.973981,5.475707e-24
223.777016,5.339186e-24
228.685402,5.206369e-24
233.70145,5.077144e-24
238.827521,4.951404e-24
244.066029,4.829043e-24
249.41944,4.709962e-24
254.890274,4.594063e-24
260.481106,4.481252e-24
266.19457,4.371438e-24
272.033354,4.264534e-24
278.000207,4.160453e-24
284.097939,4.059114e-24
290.329421,3.960437e-24
296.697585,3.864345e-24
303.205431,3.770764e-24
309.856021,3.67962e-24
316.652488,3.590845e-24
323.598029,3.50437e-24
330.695917,3.42013e-24
337.949491,3.338062e-24
345.362167,3.258104e-24
352.937434,3.180197e-24
360.67886,3.104283e-24
368.590088,3.030306e-24
376.674844,2.958213e-24
384.936932,2.88795e-24
393.380244,2.819467e-24
402.008753,2.752715e-24
410.826522,2.687646e-24
419.837703,2.624214e-24
429.046537,2.562374e-24
438.457361,2.502082e-24
448.074604,2.443296e-24
457.902794,2.385976e-24
467.946558,2.330081e-24
478.210625,2.275574e-24
488.699827,2.222417e-24
499.419102,2.170573e-24
510.373497,2.120008e-24
521.568168,2.070687e-24
533.008386,2.022577e-24
544.699537,1.975647e-24
556.647125,1.929864e-24
568.856774,1.885199e-24
581.334233,1.841623e-24
594.085376,1.799106e-24
607.116207,1.757621e-24
620.432859,1.717141e-24
634.041602,1.677639e-24
647.948843,1.639092e-24
662.161129,1.601473e-24
676.685151,1.564758e-24
691.527747,1.528925e-24
706.695905,1.493951e-24
722.196765,1.459814e-24
738.037626,1.426491e-24
754.225944,1.393964e-24
770.769341,1.362211e-24
787.675605,1.331212e-24
804.952696,1.300949e-24
822.608747,1.271403e-24
840.652071,1.242555e-24
859.091163,1.214389e-24
877.934702,1.186887e-24
897.19156,1.160033e-24
916.870804,1.13381e-24
936.981698,1.108203e-24
957.533709,1.083195e-24
978.536514,1.058774e-24
1000.0,1.034923e-24
