energy_eV,sigma_m2
15.76,0.0
16.092137,6.03971e-22
16.431274,1.215248e-21
16.777557,1.832351e-21
17.131139,2.453896e-21
17.492172,3.078591e-21
17.860814,3.705229e-21
18.237225,4.332682e-21
18.621569,4.959897e-21
19.014012,5.585895e-21
19.414727,6.20976e-21
19.823886,6.830642e-21
20.241668,7.447748e-21
20.668254,8.060341e-21
21.103831,8.667737e-21
21.548588,9.269299e-21
22.002717,9.86444e-21
22.466417,1.045261e-20
22.93989,1.103331e-20
23.423341,1.160607e-20
23.91698,1.217045e-20
24.421023,1.272607e-20
24.935688,1.327255e-20
25.4612,1.380956e-20
25.997786,1.43368e-20
26.545681,1.485398e-20
27.105123,1.536086e-20
27.676355,1.585719e-20
28.259625,1.634276e-20
28.855187,1.68174e-20
29.463301,1.728568e-20
30.084231,1.77582e-20
30.718246,1.822291e-20
31.365624,1.867939e-20
32.026644,1.912725e-20
32.701595,1.956614e-20
33.390771,1.999572e-20
34.094471,2.04157e-20
34.813001,2.08258e-20
35.546674,2.122579e-20
36.295808,2.161543e-20
37.060731,2.199453e-20
37.841774,2.236292e-20
38.639277,2.272043e-20
39.453587,2.306693e-20
40.285059,2.340231e-20
41.134054,2.372646e-20
42.000941,2.403931e-20
42.886097,2.434079e-20
43.789908,2.463084e-20
44.712766,2.490944e-20
45.655073,2.517655e-20
46.617239,2.543218e-20
47.599682,2.567632e-20
48.602831,2.5909e-20
49.62712,2.613024e-20
50.672995,2.634008e-20
51.740912,2.653857e-20
52.831335,2.672577e-20
53.944739,2.690175e-20
55.081607,2.706658e-20
56.242434,2.722036e-20
57.427725,2.736317e-20
58.637996,2.749513e-20
59.873773,2.761633e-20
61.135594,2.77269e-20
62.424007,2.782695e-20
63.739573,2.791663e-20
65.082864,2.799605e-20
66.454464,2.806537e-20
67.85497,2.812472e-20
69.284992,2.817427e-20
70.745151,2.821416e-20
72.236082,2.824455e-20
73.758435,2.826561e-20
75.31287,2.82775e-20
76.900065,2.828039e-20
78.520709,2.827446e-20
80.175507,2.825988e-20
81.865181,2.823683e-20
83.590463,2.820549e-20
85.352105,2.816604e-20
87.150873,2.811867e-20
88.98755,2.806357e-20
90.862934,2.800091e-20
92.777841,2.79309e-20
94.733104,2.785371e-20
96.729574,2.776955e-20
98.768119,2.767859e-20
100.849625,2.758103e-20
102.974999,2.747707e-20
105.145164,2.736688e-20
107.361064,2.725067e-20
109.623664,2.712862e-20
111.933948,2.700092e-20
114.29292,2.686775e-20
116.701606,2.672932e-20
119.161055,2.65858e-20
121.672336,2.643737e-20
124.236542,2.628423e-20
126.854787,2.612655e-20
129.528211,2.596452e-20
132.257976,2.57983e-20
135.045271,2.562809e-20
137.891306,2.545405e-20
140.797321,2.527636e-20
143.76458,2.509518e-20
146.794372,2.491069e-20
149.888016,2.472305e-20
153.046858,2.453243e-20
156.272271,2.433898e-20
159.565659,2.414286e-20
162.928454,2.394423e-20
166.362119,2.374324e-20
169.868147,2.354005e-20
173.448064,2.333479e-20
177.103426,2.312761e-20
180.835824,2.291866e-20
184.646881,2.270807e-20
188.538255,2.249597e-20
192.511638,2.228251e-20
196.568759,2.206781e-20
200.711382,2.185199e-20
204.94131,2.163518e-20
209.260383,2.14175e-20
213.670478,2.119906e-20
218.173515,2.097999e-20
222.771451,2.076038e-20
227.466288,2.054036e-20
232.260067,2.032002e-20
237.154874,2.009947e-20
242.152836,1.987881e-20
247.25613,1.965812e-20
252.466973,1.943735e-20
257.787633,1.921678e-20
263.220425,1.899661e-20
268.767711,1.877691e-20
274.431904,1.855776e-20
280.215468,1.833922e-20
286.120919,1.812136e-20
292.150826,1.790425e-20
298.307811,1.768795e-20
304.594552,1.747252e-20
311.013784,1.725802e-20
317.5683,1.704451e-20
324.26095,1.683203e-20
331.094645,1.66206e-20
338.072359,1.641033e-20
345.197125,1.620127e-20
352.472044,1.599348e-20
359.900279,1.578699e-20
367.485062,1.558184e-20
375.229691,1.537807e-20
383.137537,1.517572e-20
391.212037,1.497481e-20
399.456705,1.477539e-20
407.875127,1.457748e-20
416.470964,1.43811e-20
425.247956,1.418629e-20
434.20992,1.399308e-20
443.360755,1.380147e-20
452.70444,1.361151e-20
462.245041,1.34232e-20
471.986707,1.323656e-20
481.933675,1.305162e-20
492.090273,1.286839e-20
502.460917,1.268688e-20
513.050119,1.250711e-20
523.862486,1.232909e-20
534.90272,1.215283e-20
546.175623,1.197834e-20
557.686099,1.180563e-20
569.439154,1.16347e-20
581.439901,1.146556e-20
593.69356,1.129822e-20
606.205462,1.113268e-20
618.981047,1.096895e-20
632.025874,1.080702e-20
645.345616,1.064689e-20
658.946068,1.048857e-20
672.833144,1.033206e-20
687.012887,1.017735e-20
701.491463,1.002444e-20
716.27517,9.87333e-21
731.370439,9.724015e-21
746.783837,9.57649e-21
762.522066,9.430749e-21
778.591974,9.286787e-21
795.00055,9.144597e-21
811.754931,9.004171e-21
828.862405,8.865503e-21
846.330414,8.728584e-21
864.166556,8.593404e-21
882.378589,8.459956e-21
900.974434,8.328228e-21
919.962181,8.198212e-21
939.350088,8.069895e-21
959.14659,7.943268e-21
979.360296,7.818319e-21
1000.0,7.695036e-21
