energy_eV,sigma_m2
0.0,2.39880229e-19
0.001,2.39880229e-19
0.00105239807,2.39873966e-19
0.00110754169,2.39867376e-19
0.00116557474,2.39860443e-19
0.0012266486,2.39853147e-19
0.00129092262,2.39845471e-19
0.00135856447,2.39837395e-19
0.00142975062,2.39828898e-19
0.00150466679,2.39819959e-19
0.00158350842,2.39810554e-19
0.0016664812,2.39800658e-19
0.00175380159,2.39790248e-19
0.00184569741,2.39779296e-19
0.00194240838,2.39767775e-19
0.00204418683,2.39755654e-19
0.00215129827,2.39742903e-19
0.00226402214,2.3972949e-19
0.00238265252,2.3971538e-19
0.00250749891,2.39700538e-19
0.00263888701,2.39684925e-19
0.00277715958,2.39668503e-19
0.00292267738,2.3965123e-19
0.00307582003,2.39633062e-19
0.00323698705,2.39613953e-19
0.00340659891,2.39593856e-19
0.00358509811,2.39572719e-19
0.00377295033,2.39550491e-19
0.00397064563,2.39527115e-19
0.00417869979,2.39502533e-19
0.00439765558,2.39476683e-19
0.00462808423,2.39449502e-19
0.0048705869,2.39420923e-19
0.00512579624,2.39390874e-19
0.00539437806,2.39359282e-19
0.00567703304,2.3932607e-19
0.0059744986,2.39291155e-19
0.00628755078,2.39254452e-19
0.00661700629,2.39215873e-19
0.00696372463,2.39175324e-19
0.00732861034,2.39132708e-19
0.00771261536,2.3908792e-19
0.0081167415,2.39040856e-19
0.00854204306,2.38991402e-19
0.00898962961,2.38939442e-19
0.00946066883,2.38884852e-19
0.00995638959,2.38827505e-19
0.0104780852,2.38767266e-19
0.0110271166,2.38703997e-19
0.0116049162,2.38637552e-19
0.0122129913,2.38567777e-19
0.0128529285,2.38494515e-19
0.0135263971,2.38417601e-19
0.0142351542,2.38336861e-19
0.0149810487,2.38252116e-19
0.0157660267,2.3816318e-19
0.0165921361,2.38069857e-19
0.0174615319,2.37971947e-19
0.0183764824,2.37869239e-19
0.0193393746,2.37761515e-19
0.0203527205,2.37648549e-19
0.0214191637,2.37530107e-19
0.0225414864,2.37405946e-19
0.0237226168,2.37275815e-19
0.024965636,2.37139453e-19
0.0262737871,2.36996593e-19
0.0276504828,2.36846956e-19
0.0290993146,2.36690258e-19
0.0306240625,2.36526204e-19
0.0322287042,2.3635449e-19
0.033917426,2.36174806e-19
0.0356946335,2.35986832e-19
0.0375649633,2.3579024e-19
0.0395332948,2.35584696e-19
0.0416047631,2.35369856e-19
0.0437847722,2.35145371e-19
0.0460790097,2.34910885e-19
0.0484934607,2.34666035e-19
0.0510344243,2.34410453e-19
0.0537085295,2.34143766e-19
0.0565227527,2.33865599e-19
0.0594844357,2.33575569e-19
0.0626013051,2.33273296e-19
0.0658814925,2.32958394e-19
0.0693335554,2.32630479e-19
0.0729664997,2.32289167e-19
0.0767898033,2.31934075e-19
0.0808134405,2.31564825e-19
0.0850479086,2.31181041e-19
0.0895042547,2.30782354e-19
0.0941941046,2.30368403e-19
0.0991296937,2.29938834e-19
0.104323898,2.29493304e-19
0.109790269,2.29031482e-19
0.115543067,2.28553051e-19
0.1215973,2.28057709e-19
0.127968763,2.27545169e-19
0.134674079,2.27015164e-19
0.141730741,2.26467448e-19
0.149157158,2.25901795e-19
0.156972704,2.25318002e-19
0.165197771,2.24715892e-19
0.173853815,2.24095313e-19
0.182963418,2.23456141e-19
0.192550348,2.22798281e-19
0.202639614,2.22121666e-19
0.213257538,2.21426262e-19
0.224431821,2.20712065e-19
0.236191615,2.19979103e-19
0.248567599,2.19227437e-19
0.26159206,2.18457161e-19
0.275298979,2.17668402e-19
0.289724113,2.1686132e-19
0.304905097,2.16036107e-19
0.320881535,2.15192989e-19
0.337695107,2.14332222e-19
0.355389678,2.13454095e-19
0.37401141,2.12558924e-19
0.393608885,2.11647056e-19
0.41423323,2.10718867e-19
0.43593825,2.09774755e-19
0.458780572,2.08815148e-19
0.482819787,2.07840491e-19
0.508118611,2.06851257e-19
0.534743044,2.05847932e-19
0.562762546,2.04831025e-19
0.592250216,2.03801056e-19
0.623282983,2.02758563e-19
0.655941806,2.01704093e-19
0.690311889,2.00638204e-19
0.726482898,1.9956146e-19
0.764549198,1.98474433e-19
0.804610098,1.97377698e-19
0.846770112,1.96271831e-19
0.891139229,1.95157412e-19
0.937833203,1.94035016e-19
0.98697385,1.92905216e-19
1.03868937,1.91768582e-19
1.09311469,1.90625677e-19
1.15039178,1.89477057e-19
1.21067009,1.88323269e-19
1.27410686,1.87164853e-19
1.3408676,1.86002336e-19
1.41112647,1.84836235e-19
1.48506677,1.83667054e-19
1.5628814,1.82495285e-19
1.64477336,1.81321407e-19
1.73095631,1.80145884e-19
1.82165507,1.78969165e-19
1.91710628,1.77791688e-19
2.01755894,1.76613872e-19
2.12327513,1.75436123e-19
2.23453065,1.74258832e-19
2.35161573,1.73082373e-19
2.47483585,1.71907108e-19
2.60451247,1.70733382e-19
2.74098389,1.69561524e-19
2.88460615,1.68391851e-19
3.03575393,1.67224663e-19
3.19482157,1.66060247e-19
3.36222405,1.64898875e-19
3.53839809,1.63740807e-19
3.72380331,1.62586289e-19
3.9189234,1.61435552e-19
4.12426742,1.60288817e-19
4.34037106,1.59146292e-19
4.56779811,1.58008171e-19
4.80714191,1.5687464e-19
5.05902685,1.5574587e-19
5.32411008,1.54622025e-19
5.60308316,1.53503257e-19
5.89667389,1.52389707e-19
6.2056482,1.51281508e-19
6.53081217,1.50178782e-19
6.87301411,1.49081645e-19
7.23314676,1.47990203e-19
7.61214967,1.46904553e-19
8.0110116,1.45824786e-19
8.43077313,1.44750984e-19
8.87252935,1.43683224e-19
9.33743274,1.42621574e-19
9.82669616,1.41566098e-19
10.3415961,1.40516853e-19
10.8834757,1.39473889e-19
11.4537488,1.38437252e-19
12.0539031,1.37406982e-19
12.6855043,1.36383115e-19
13.3502002,1.35365682e-19
14.0497249,1.34354709e-19
14.7859033,1.33350219e-19
15.5606561,1.32352228e-19
16.3760044,1.31360753e-19
17.2340754,1.30375804e-19
18.1371076,1.29397388e-19
19.087457,1.28425511e-19
20.0876029,1.27460173e-19
21.1401544,1.26501374e-19
22.2478577,1.2554911e-19
23.4136024,1.24603373e-19
24.6404299,1.23664157e-19
25.9315408,1.22731448e-19
27.2903034,1.21805236e-19
28.7202626,1.20885505e-19
30.2251488,1.19972238e-19
31.8088882,1.19065418e-19
33.4756125,1.18165023e-19
35.2296699,1.17271034e-19
37.0756365,1.16383427e-19
39.0183282,1.15502178e-19
41.0628132,1.14627262e-19
43.2144252,1.13758653e-19
45.4787776,1.12896324e-19
47.8617776,1.12040246e-19
50.3696423,1.1119039e-19
53.0089142,1.10346727e-19
55.7864788,1.09509225e-19
58.7095825,1.08677853e-19
61.7858511,1.07852579e-19
65.0233103,1.07033371e-19
68.4304061,1.06220195e-19
72.0160271,1.05413018e-19
75.7895278,1.04611805e-19
79.7607525,1.03816523e-19
83.9400618,1.03027136e-19
88.3383588,1.0224361e-19
92.9671181,1.01465908e-19
97.8384154,1.00693995e-19
102.964959,9.99278361e-20
108.360124,9.91673939e-20
114.037985,9.84126326e-20
120.013355,9.76635157e-20
126.301823,9.69200068e-20
132.919794,9.61820692e-20
139.884535,9.54496663e-20
147.214214,9.47227612e-20
154.927954,9.40013173e-20
163.04588,9.32852978e-20
171.589169,9.25746659e-20
180.580109,9.18693848e-20
190.042158,9.11694178e-20
200.0,9.04747283e-20
