energy_eV,sigma_m2
0.001,0.0
0.00105239807,0.0
0.00110754169,0.0
0.00116557474,0.0
0.0012266486,0.0
0.00129092262,0.0
0.00135856447,0.0
0.00142975062,0.0
0.00150466679,0.0
0.00158350842,0.0
0.0016664812,0.0
0.00175380159,0.0
0.00184569741,0.0
0.00194240838,0.0
0.00204418683,0.0
0.00215129827,0.0
0.00226402214,0.0
0.00238265252,0.0
0.00250749891,0.0
0.00263888701,0.0
0.00277715958,0.0
0.00292267738,0.0
0.00307582003,0.0
0.00323698705,0.0
0.00340659891,0.0
0.00358509811,0.0
0.00377295033,0.0
0.00397064563,0.0
0.00417869979,0.0
0.00439765558,0.0
0.00462808423,0.0
0.0048705869,0.0
0.00512579624,0.0
0.00539437806,0.0
0.00567703304,0.0
0.0059744986,0.0
0.00628755078,0.0
0.00661700629,0.0
0.00696372463,0.0
0.00732861034,0.0
0.00771261536,0.0
0.0081167415,0.0
0.00854204306,0.0
0.00898962961,0.0
0.00946066883,0.0
0.00995638959,0.0
0.0104780852,0.0
0.0110271166,0.0
0.0116049162,0.0
0.0122129913,0.0
0.0128529285,0.0
0.0135263971,0.0
0.0142351542,0.0
0.0149810487,0.0
0.0157660267,0.0
0.0165921361,0.0
0.0174615319,0.0
0.0183764824,0.0
0.0193393746,0.0
0.0203527205,0.0
0.0214191637,0.0
0.0225414864,0.0
0.0237226168,0.0
0.024965636,0.0
0.0262737871,0.0
0.0276504828,0.0
0.0290993146,0.0
0.0306240625,0.0
0.0322287042,0.0
0.033917426,0.0
0.0356946335,0.0
0.0375649633,0.0
0.0395332948,0.0
0.0416047631,0.0
0.0437847722,0.0
0.0460790097,0.0
0.0484934607,0.0
0.0510344243,0.0
0.0537085295,0.0
0.0565227527,0.0
0.0594844357,0.0
0.0626013051,0.0
0.0658814925,0.0
0.0693335554,0.0
0.0729664997,0.0
0.0767898033,0.0
0.0808134405,0.0
0.0850479086,0.0
0.0895042547,0.0
0.0941941046,0.0
0.0991296937,0.0
0.104323898,0.0
0.109790269,0.0
0.115543067,0.0
0.1215973,0.0
0.127968763,0.0
0.134674079,0.0
0.141730741,0.0
0.149157158,0.0
0.156972704,0.0
0.165197771,0.0
0.173853815,0.0
0.182963418,0.0
0.192550348,0.0
0.202639614,0.0
0.213257538,0.0
0.224431821,0.0
0.236191615,0.0
0.248567599,0.0
0.26159206,0.0
0.275298979,0.0
0.289724113,0.0
0.304905097,0.0
0.320881535,0.0
0.337695107,0.0
0.355389678,0.0
0.37401141,0.0
0.393608885,0.0
0.41423323,0.0
0.43593825,0.0
0.458780572,0.0
0.482819787,0.0
0.508118611,0.0
0.534743044,0.0
0.562762546,0.0
0.592250216,0.0
0.623282983,0.0
0.655941806,0.0
0.690311889,0.0
0.726482898,0.0
0.764549198,0.0
0.804610098,0.0
0.846770112,0.0
0.891139229,0.0
0.937833203,0.0
0.98697385,0.0
1.03868937,0.0
1.09311469,0.0
1.15039178,0.0
1.21067009,0.0
1.27410686,0.0
1.3408676,0.0
1.41112647,0.0
1.48506677,0.0
1.5628814,0.0
1.64477336,0.0
1.73095631,0.0
1.82165507,0.0
1.91710628,0.0
2.01755894,0.0
2.12327513,0.0
2.23453065,0.0
2.35161573,0.0
2.47483585,0.0
2.60451247,0.0
2.74098389,0.0
2.88460615,0.0
3.03575393,0.0
3.19482157,0.0
3.36222405,0.0
3.53839809,0.0
3.72380331,0.0
3.9189234,0.0
4.12426742,0.0
4.34037106,0.0
4.56779811,0.0
4.80714191,0.0
5.05902685,0.0
5.32411008,0.0
5.60308316,0.0
5.89667389,0.0
6.2056482,0.0
6.53081217,0.0
6.87301411,0.0
7.23314676,0.0
7.61214967,0.0
8.0110116,0.0
8.43077313,0.0
8.87252935,0.0
9.33743274,0.0
9.82669616,0.0
10.3415961,0.0
10.8834757,0.0
11.4537488,0.0
12.0539031,0.0
12.6855043,1.09152254e-21
13.3502002,3.68949115e-21
14.0497249,5.96421367e-21
14.7859033,8.13946374e-21
15.5606561,1.02801897e-20
16.3760044,1.24181503e-20
17.2340754,1.45726199e-20
18.1371076,1.67569342e-20
19.087457,1.89812032e-20
20.0876029,2.1253633e-20
21.1401544,2.28461811e-20
22.2478577,2.30684111e-20
23.4136024,2.31504145e-20
24.6404299,2.3113486e-20
25.9315408,2.29759139e-20
27.2903034,2.27534744e-20
28.7202626,2.24598209e-20
30.2251488,2.21067971e-20
31.8088882,2.17046935e-20
33.4756125,2.12624591e-20
35.2296699,2.07878801e-20
37.0756365,2.02877296e-20
39.0183282,1.9767897e-20
41.0628132,1.92334977e-20
43.2144252,1.86889684e-20
45.4787776,1.81381499e-20
47.8617776,1.75843591e-20
50.3696423,1.70304516e-20
53.0089142,1.6478877e-20
55.7864788,1.59317274e-20
58.7095825,1.53907798e-20
61.7858511,1.48575338e-20
65.0233103,1.43332448e-20
68.4304061,1.38189534e-20
72.0160271,1.33155114e-20
75.7895278,1.28236046e-20
79.7607525,1.23437734e-20
83.9400618,1.1876431e-20
88.3383588,1.14218792e-20
92.9671181,1.09803228e-20
97.8384154,1.05518823e-20
102.964959,1.01366049e-20
108.360124,9.7344748e-21
114.037985,9.34542158e-21
120.013355,8.9693284e-21
126.301823,8.60603876e-21
132.919794,8.25536266e-21
139.884535,7.91708203e-21
147.214214,7.59095552e-21
154.927954,7.27672274e-21
163.04588,6.97410796e-21
171.589169,6.68282342e-21
180.580109,6.40257217e-21
190.042158,6.13305062e-21
200.0,5.87395074e-21
