energy_eV,sigma_m2
0.001,5.99401793e-19
0.00105239807,5.99370547e-19
0.00110754169,5.99337674e-19
0.00116557474,5.9930309e-19
0.0012266486,5.99266707e-19
0.00129092262,5.99228432e-19
0.00135856447,5.99188167e-19
0.00142975062,5.9914581e-19
0.00150466679,5.99101253e-19
0.00158350842,5.99054382e-19
0.0016664812,5.9900508e-19
0.00175380159,5.9895322e-19
0.00184569741,5.98898672e-19
0.00194240838,5.98841298e-19
0.00204418683,5.98780954e-19
0.00215129827,5.98717486e-19
0.00226402214,5.98650737e-19
0.00238265252,5.98580539e-19
0.00250749891,5.98506715e-19
0.00263888701,5.98429082e-19
0.00277715958,5.98347447e-19
0.00292267738,5.98261606e-19
0.00307582003,5.98171347e-19
0.00323698705,5.98076447e-19
0.00340659891,5.97976672e-19
0.00358509811,5.97871777e-19
0.00377295033,5.97761504e-19
0.00397064563,5.97645585e-19
0.00417869979,5.97523737e-19
0.00439765558,5.97395666e-19
0.00462808423,5.97261062e-19
0.0048705869,5.97119601e-19
0.00512579624,5.96970944e-19
0.00539437806,5.96814738e-19
0.00567703304,5.96650611e-19
0.0059744986,5.96478176e-19
0.00628755078,5.96297029e-19
0.00661700629,5.96106746e-19
0.00696372463,5.95906885e-19
0.00732861034,5.95696985e-19
0.00771261536,5.95476565e-19
0.0081167415,5.95245123e-19
0.00854204306,5.95002136e-19
0.00898962961,5.94747058e-19
0.00946066883,5.94479321e-19
0.00995638959,5.94198335e-19
0.0104780852,5.93903484e-19
0.0110271166,5.93594129e-19
0.0116049162,5.93269605e-19
0.0122129913,5.92929224e-19
0.0128529285,5.92572269e-19
0.0135263971,5.92197998e-19
0.0142351542,5.91805643e-19
0.0149810487,5.91394409e-19
0.0157660267,5.90963471e-19
0.0165921361,5.9051198e-19
0.0174615319,5.90039058e-19
0.0183764824,5.895438e-19
0.0193393746,5.89025273e-19
0.0203527205,5.88482518e-19
0.0214191637,5.8791455e-19
0.0225414864,5.87320355e-19
0.0237226168,5.86698897e-19
0.024965636,5.86049113e-19
0.0262737871,5.85369918e-19
0.0276504828,5.84660205e-19
0.0290993146,5.83918845e-19
0.0306240625,5.83144691e-19
0.0322287042,5.82336578e-19
0.033917426,5.81493326e-19
0.0356946335,5.80613742e-19
0.0375649633,5.79696624e-19
0.0395332948,5.78740762e-19
0.0416047631,5.77744941e-19
0.0437847722,5.76707945e-19
0.0460790097,5.75628563e-19
0.0484934607,5.74505587e-19
0.0510344243,5.73337824e-19
0.0537085295,5.72124092e-19
0.0565227527,5.70863231e-19
0.0594844357,5.69554106e-19
0.0626013051,5.68195609e-19
0.0658814925,5.6678667e-19
0.0693335554,5.65326257e-19
0.0729664997,5.63813382e-19
0.0767898033,5.6224711e-19
0.0808134405,5.60626563e-19
0.0850479086,5.58950923e-19
0.0895042547,5.5721944e-19
0.0941941046,5.55431436e-19
0.0991296937,5.53586313e-19
0.104323898,5.51683554e-19
0.109790269,5.49722731e-19
0.115543067,5.47703506e-19
0.1215973,5.4562564e-19
0.127968763,5.43488993e-19
0.134674079,5.41293528e-19
0.141730741,5.39039313e-19
0.149157158,5.36726526e-19
0.156972704,5.34355455e-19
0.165197771,5.31926499e-19
0.173853815,5.29440166e-19
0.182963418,5.26897079e-19
0.192550348,5.2429797e-19
0.202639614,5.21643679e-19
0.213257538,5.18935155e-19
0.224431821,5.1617345e-19
0.236191615,5.13359717e-19
0.248567599,5.10495208e-19
0.26159206,5.07581265e-19
0.275298979,5.04619319e-19
0.289724113,5.01610885e-19
0.304905097,4.98557551e-19
0.320881535,4.9546098e-19
0.337695107,4.92322895e-19
0.355389678,4.89145079e-19
0.37401141,4.85929365e-19
0.393608885,4.82677629e-19
0.41423323,4.79391785e-19
0.43593825,4.76073777e-19
0.458780572,4.72725569e-19
0.482819787,4.69349144e-19
0.508118611,4.65946493e-19
0.534743044,4.62519612e-19
0.562762546,4.59070491e-19
0.592250216,4.55601113e-19
0.623282983,4.52113444e-19
0.655941806,4.48609433e-19
0.690311889,4.45091002e-19
0.726482898,4.41560044e-19
0.764549198,4.38018418e-19
0.804610098,4.34467947e-19
0.846770112,4.30910411e-19
0.891139229,4.27347547e-19
0.937833203,4.23781046e-19
0.98697385,4.2021255e-19
1.03868937,4.1664365e-19
1.09311469,4.13075884e-19
1.15039178,4.09510736e-19
1.21067009,4.05949637e-19
1.27410686,4.02393962e-19
1.3408676,3.9884503e-19
1.41112647,3.95304104e-19
1.48506677,3.91772391e-19
1.5628814,3.88251042e-19
1.64477336,3.84741156e-19
1.73095631,3.81243774e-19
1.82165507,3.77759885e-19
1.91710628,3.74290425e-19
2.01755894,3.70836279e-19
2.12327513,3.67398282e-19
2.23453065,3.63977217e-19
2.35161573,3.60573824e-19
2.47483585,3.57188792e-19
2.60451247,3.53822767e-19
2.74098389,3.50476353e-19
2.88460615,3.47150109e-19
3.03575393,3.43844555e-19
3.19482157,3.40560174e-19
3.36222405,3.37297408e-19
3.53839809,3.34056664e-19
3.72380331,3.30838318e-19
3.9189234,3.27642708e-19
4.12426742,3.24470143e-19
4.34037106,3.21320904e-19
4.56779811,3.1819524e-19
4.80714191,3.15093373e-19
5.05902685,3.12015502e-19
5.32411008,3.08961799e-19
5.60308316,3.05932412e-19
5.89667389,3.02927469e-19
6.2056482,2.99947076e-19
6.53081217,2.96991319e-19
6.87301411,2.94060265e-19
7.23314676,2.91153964e-19
7.61214967,2.8827245e-19
8.0110116,2.85415738e-19
8.43077313,2.82583832e-19
8.87252935,2.79776719e-19
9.33743274,2.76994376e-19
9.82669616,2.74236766e-19
10.3415961,2.71503839e-19
10.8834757,2.68795538e-19
11.4537488,2.66111792e-19
12.0539031,2.63452523e-19
12.6855043,2.60817643e-19
13.3502002,2.58207057e-19
14.0497249,2.55620661e-19
14.7859033,2.53058345e-19
15.5606561,2.50519993e-19
16.3760044,2.48005481e-19
17.2340754,2.4551468e-19
18.1371076,2.43047458e-19
19.087457,2.40603674e-19
20.0876029,2.38183187e-19
21.1401544,2.3578585e-19
22.2478577,2.33411511e-19
23.4136024,2.31060017e-19
24.6404299,2.2873121e-19
25.9315408,2.26424932e-19
27.2903034,2.24141019e-19
28.7202626,2.21879308e-19
30.2251488,2.19639632e-19
31.8088882,2.17421822e-19
33.4756125,2.1522571e-19
