energy_eV,sigma_m2
0.0,3.79727044e-19
0.001,3.79727044e-19
0.00105239807,3.79712777e-19
0.00110754169,3.79697766e-19
0.00116557474,3.79681973e-19
0.0012266486,3.79665357e-19
0.00129092262,3.79647876e-19
0.00135856447,3.79629484e-19
0.00142975062,3.79610135e-19
0.00150466679,3.79589779e-19
0.00158350842,3.79568364e-19
0.0016664812,3.79545835e-19
0.00175380159,3.79522136e-19
0.00184569741,3.79497205e-19
0.00194240838,3.7947098e-19
0.00204418683,3.79443393e-19
0.00215129827,3.79414375e-19
0.00226402214,3.79383852e-19
0.00238265252,3.79351747e-19
0.00250749891,3.79317979e-19
0.00263888701,3.79282463e-19
0.00277715958,3.79245109e-19
0.00292267738,3.79205825e-19
0.00307582003,3.7916451e-19
0.00323698705,3.79121063e-19
0.00340659891,3.79075374e-19
0.00358509811,3.79027331e-19
0.00377295033,3.78976813e-19
0.00397064563,3.78923695e-19
0.00417869979,3.78867847e-19
0.00439765558,3.78809131e-19
0.00462808423,3.78747403e-19
0.0048705869,3.78682511e-19
0.00512579624,3.78614298e-19
0.00539437806,3.78542598e-19
0.00567703304,3.78467236e-19
0.0059744986,3.78388032e-19
0.00628755078,3.78304795e-19
0.00661700629,3.78217326e-19
0.00696372463,3.78125417e-19
0.00732861034,3.7802885e-19
0.00771261536,3.77927397e-19
0.0081167415,3.77820821e-19
0.00854204306,3.77708872e-19
0.00898962961,3.77591293e-19
0.00946066883,3.77467811e-19
0.00995638959,3.77338144e-19
0.0104780852,3.77201997e-19
0.0110271166,3.77059064e-19
0.0116049162,3.76909024e-19
0.0122129913,3.76751544e-19
0.0128529285,3.76586277e-19
0.0135263971,3.76412863e-19
0.0142351542,3.76230925e-19
0.0149810487,3.76040076e-19
0.0157660267,3.75839909e-19
0.0165921361,3.75630007e-19
0.0174615319,3.75409933e-19
0.0183764824,3.75179237e-19
0.0193393746,3.74937454e-19
0.0203527205,3.746841e-19
0.0214191637,3.74418679e-19
0.0225414864,3.74140676e-19
0.0237226168,3.73849561e-19
0.024965636,3.73544789e-19
0.0262737871,3.73225798e-19
0.0276504828,3.72892012e-19
0.0290993146,3.72542839e-19
0.0306240625,3.72177672e-19
0.0322287042,3.71795891e-19
0.033917426,3.71396861e-19
0.0356946335,3.70979937e-19
0.0375649633,3.70544459e-19
0.0395332948,3.70089758e-19
0.0416047631,3.69615153e-19
0.0437847722,3.69119958e-19
0.0460790097,3.68603476e-19
0.0484934607,3.68065007e-19
0.0510344243,3.67503847e-19
0.0537085295,3.66919286e-19
0.0565227527,3.66310619e-19
0.0594844357,3.6567714e-19
0.0626013051,3.65018147e-19
0.0658814925,3.64332946e-19
0.0693335554,3.6362085e-19
0.0729664997,3.62881186e-19
0.0767898033,3.62113294e-19
0.0808134405,3.61316531e-19
0.0850479086,3.60490276e-19
0.0895042547,3.5963393e-19
0.0941941046,3.5874692e-19
0.0991296937,3.57828705e-19
0.104323898,3.56878774e-19
0.109790269,3.55896653e-19
0.115543067,3.54881908e-19
0.1215973,3.53834144e-19
0.127968763,3.52753015e-19
0.134674079,3.51638219e-19
0.141730741,3.50489507e-19
0.149157158,3.49306681e-19
0.156972704,3.480896e-19
0.165197771,3.46838178e-19
0.173853815,3.4555239e-19
0.182963418,3.44232271e-19
0.192550348,3.42877916e-19
0.202639614,3.41489486e-19
0.213257538,3.40067203e-19
0.224431821,3.38611351e-19
0.236191615,3.37122279e-19
0.248567599,3.35600399e-19
0.26159206,3.34046184e-19
0.275298979,3.32460166e-19
0.289724113,3.30842939e-19
0.304905097,3.29195151e-19
0.320881535,3.27517507e-19
0.337695107,3.25810761e-19
0.355389678,3.24075721e-19
0.37401141,3.22313238e-19
0.393608885,3.20524206e-19
0.41423323,3.1870956e-19
0.43593825,3.1687027e-19
0.458780572,3.1500734e-19
0.482819787,3.131218e-19
0.508118611,3.11214705e-19
0.534743044,3.09287133e-19
0.562762546,3.07340176e-19
0.592250216,3.0537494e-19
0.623282983,3.03392541e-19
0.655941806,3.01394098e-19
0.690311889,2.99380736e-19
0.726482898,2.97353574e-19
0.764549198,2.95313729e-19
0.804610098,2.9326231e-19
0.846770112,2.91200415e-19
0.891139229,2.89129126e-19
0.937833203,2.87049514e-19
0.98697385,2.84962626e-19
1.03868937,2.82869494e-19
1.09311469,2.80771124e-19
1.15039178,2.78668499e-19
1.21067009,2.76562577e-19
1.27410686,2.74454289e-19
1.3408676,2.72344539e-19
1.41112647,2.70234201e-19
1.48506677,2.6812412e-19
1.5628814,2.66015111e-19
1.64477336,2.6390796e-19
1.73095631,2.61803421e-19
1.82165507,2.59702217e-19
1.91710628,2.57605043e-19
2.01755894,2.5551256e-19
2.12327513,2.53425401e-19
2.23453065,2.51344169e-19
2.35161573,2.49269436e-19
2.47483585,2.47201747e-19
2.60451247,2.45141618e-19
2.74098389,2.43089536e-19
2.88460615,2.41045963e-19
3.03575393,2.39011332e-19
3.19482157,2.36986052e-19
3.36222405,2.34970508e-19
3.53839809,2.32965059e-19
3.72380331,2.30970041e-19
3.9189234,2.28985769e-19
4.12426742,2.27012535e-19
4.34037106,2.25050611e-19
4.56779811,2.23100247e-19
4.80714191,2.21161676e-19
5.05902685,2.19235113e-19
5.32411008,2.17320753e-19
5.60308316,2.15418776e-19
5.89667389,2.13529345e-19
6.2056482,2.11652608e-19
6.53081217,2.09788699e-19
6.87301411,2.07937737e-19
7.23314676,2.06099829e-19
7.61214967,2.04275068e-19
8.0110116,2.02463535e-19
8.43077313,2.00665303e-19
8.87252935,1.9888043e-19
9.33743274,1.97108966e-19
9.82669616,1.95350951e-19
10.3415961,1.93606416e-19
10.8834757,1.91875383e-19
11.4537488,1.90157868e-19
12.0539031,1.88453877e-19
12.6855043,1.86763409e-19
13.3502002,1.85086458e-19
14.0497249,1.8342301e-19
14.7859033,1.81773046e-19
15.5606561,1.8013654e-19
16.3760044,1.78513464e-19
17.2340754,1.76903782e-19
18.1371076,1.75307454e-19
19.087457,1.73724437e-19
20.0876029,1.72154683e-19
21.1401544,1.7059814e-19
22.2478577,1.69054754e-19
23.4136024,1.67524466e-19
24.6404299,1.66007216e-19
25.9315408,1.64502939e-19
27.2903034,1.63011569e-19
28.7202626,1.61533038e-19
30.2251488,1.60067274e-19
31.8088882,1.58614204e-19
33.4756125,1.57173754e-19
35.2296699,1.55745847e-19
37.0756365,1.54330406e-19
39.0183282,1.5292735e-19
41.0628132,1.515366e-19
43.2144252,1.50158074e-19
45.4787776,1.48791688e-19
47.8617776,1.4743736e-19
50.3696423,1.46095004e-19
53.0089142,1.44764536e-19
55.7864788,1.4344587e-19
58.7095825,1.42138918e-19
61.7858511,1.40843596e-19
65.0233103,1.39559814e-19
68.4304061,1.38287487e-19
72.0160271,1.37026526e-19
75.7895278,1.35776842e-19
79.7607525,1.34538349e-19
83.9400618,1.33310958e-19
88.3383588,1.32094581e-19
92.9671181,1.30889129e-19
97.8384154,1.29694515e-19
102.964959,1.28510651e-19
108.360124,1.27337448e-19
114.037985,1.2617482e-19
120.013355,1.25022679e-19
126.301823,1.23880938e-19
132.919794,1.2274951e-19
139.884535,1.21628308e-19
147.214214,1.20517247e-19
154.927954,1.1941624e-19
163.04588,1.18325203e-19
171.589169,1.17244049e-19
180.580109,1.16172695e-19
190.042158,1.15111056e-19
200.0,1.14059048e-19
