id,phase,charge,mass_amu,elements,state_tags,surfaces,display_name,cv_over_kb
e,gas,-1,0.00054858,,electron,,e,
Ar,gas,0,39.948,Ar:1,stable|parent,,Ar,1.5
Ar_plus,gas,1,39.948,Ar:1,ion,,Ar+,1.5
CF4,gas,0,88.0043,C:1;F:4,stable|parent,,CF4,3.0
CF3,gas,0,69.0037,C:1;F:3,radical,,CF3,3.0
F,gas,0,18.9984,F:1,radical,,F,1.5
F2,gas,0,37.9968,F:2,stable|product,,F2,2.5
O2,gas,0,31.998,O:2,stable|parent,,O2,2.5
O,gas,0,15.999,O:1,radical,,O,1.5
O_minus,gas,-1,15.999,O:1,negative_ion,,O-,1.5
wafer:*,surface,0,0.0,site:1,site,wafer,wafer:*,
wafer:F*,surface,0,18.9984,F:1;site:1,adsorbate,wafer,wafer:F*,
wafer:poly*,surface,0,50.0,C:1;F:2;site:1,film_fragment,wafer,wafer:poly*,
wall:*,surface,0,0.0,site:1,site,grounded_wall,wall:*,
wall:F*,surface,0,18.9984,F:1;site:1,adsorbate,grounded_wall,wall:F*,
source:*,surface,0,0.0,site:1,site,source_wall,source:*,
source:F*,surface,0,18.9984,F:1;site:1,adsorbate,source_wall,source:F*,
